id,label,description
NCG10076,Mill Branch,rises in N Franklin County and flows S into Sandy Creek.
NCG10077,Mill Branch,rises in NW Wilson County and flows S into Contentnea Creek.
NCG10078,Mill Branch,community in SW Brunswick County.
NCG10079,Mill Brook,rises in N central Wake County and flows SE into Marsh Creek.
NCG10080,Mill Cove,"NE Currituck County, is formed by the waters of Knotts Island Channel, which cuts into the E shore of Knotts Island."
NCG10081,Mill Creek,rises in S Ashe County and flows S into South Fork New River.
NCG10082,Mill Creek,rises in NE Henderson County and flows SE into Hickory Nut Creek.
NCG10083,Mill Creek,rises in W Lincoln County and flows SE into Indian Creek.
NCG10084,Mill Creek,rises in S Onslow County and flows S into Alligator Bay.
NCG10085,Mill Creek,rises in S Stokes County and flows SE into Town Fork Creek.
NCG10086,Mill Creek,rises in N Warren County and flows NE into Hawtree Creek.
NCG10087,Mill Creek,See Mill Tail Creek.
NCG10088,Mill Fork,"rises in SW Franklin County and flows SW into Wake County, where it enters Horse Creek."
NCG10089,Mill Gap,N Macon County between Matlock Creek and Shepherd Creek.
NCG10090,Mill Grove,community about 2 mi. N of city of Durham in central Durham County.
NCG10091,Mill Hill,home built by Jacob Stirewalt in 1821 on Mill Creek in N Cabarrus County. Restored in 1938. Nearby creek dammed to provide power for a gristmill and tannery.
NCG10092,Mill Knob,S Yancey County between Sodom Branch and Indian Creek.
NCG10093,Mill Landing,E Bertie County on Salmon Creek. Site of a gristmill built in 1771 by George Ryan and operated for many years; ruins still exist. Ships loaded cargo from the mill at the landing.
NCG10094,Mill Mountain,E Stanly County on the W bank of Pee Dee River in Morrow Mountain State Park.
NCG10095,Mill Neck,community in N Hertford County on Buckhorn Creek.
NCG10096,Mill Point,"N Tyrrell County, extends from River Neck into the mouth of Scuppernong River."
NCG10097,Mill Point,See Elon.
NCG10098,Mill Pond Branch,rises in N Nash County and flows NE into Flat Rock Branch.
NCG10099,Mill Pond Creek,rises in N Pasquotank County and flows NW into Newland Drainage Canal.
NCG10100,Mill Ridge,"N Madison County between Little Hurricane Creek and Big Laurel Creek. Alt. 2,763."
NCG10101,Mill Run,rises in central Onslow County and flows NE into Southwest Creek. See also Troublesome Creek.
NCG10102,Mill Shoal Ridge,W Avery County.
NCG10103,Mill Spring,"town in central Polk County. Inc. 1885 as Mills Spring, but long inactive in municipal affairs. Named for a son of William Mills, pioneer settler. Alt. 1,017."
NCG10104,Mill Station Creek,rises in NW Transylvania County and flows SE into Court House Creek.
NCG10105,Mill Stone Creek,rises in N Richmond County and flows SW into Rocky Fork Creek.
NCG10106,Mill Swamp,rises in W Sampson County and flows SW into Little Coharie Creek.
NCG10107,Mill Swamp Branch,rises in SW Johnston County and flows SE into Mill Creek.
NCG10108,Mill Swamp Creek,rises in E Robeson County and flows SE into Lumber River.
NCG10109,Mill Tail Creek,"rises in W Dare County and flows N and W into Alligator River. Appears on the Collet map, 1770, as Mill Creek."
NCG10110,Mill Timber Creek,rises in central Avery County and flows SW into Linville River.
NCG10111,Mill Town,See Shiloh.
NCG10112,Millboro,community in N Randolph County.
NCG10113,Millbridge,community in W Rowan County. Named for the mill built in 1822 by Samuel Kerr and the nearby bridge over Kerr Creek.
NCG10114,Millbrook,community in N central Wake County approx. 3 mi. N of the city of Raleigh. Settled prior to 1860 and named for the brook on which a gristmill operated. Alt. 318.
NCG10115,Milledgeville,See Tuckertown.
NCG10116,Miller,community in E central Wayne County. Formerly known as Millers Station.
NCG10117,Miller Branch,rises in E central Bertie County and flows N into Cricket Swamp.
NCG10118,Miller Branch,rises in W Yancey County and flows S into Fox Creek.
NCG10119,Miller Cove,SW Swain County on the N side of Nantahala Gorge.
NCG10120,Miller Creek,rises in S Buncombe County and flows SE into Tweed Creek.
NCG10121,Miller Gap,central Haywood County on the head of Rabbitskin Branch.
NCG10122,Miller Hollow,W Macon County between Tom Bryan Cove and Deweese Creek.
NCG10123,Miller Mountain,central Buncombe County SW of Spivey Gap.
NCG10124,Miller Mountain,"W Polk County between Howard Gap and Tryon Mountain. Alt. 2,500."
NCG10125,Miller's Point,"a point of land extending into Pasquotank River in S Camden County. Named for Thomas Miller, who was granted land there on January 1, 1694."
NCG10126,Millers Branch,rises in N central Avery County and flows NW into Cranberry Creek.
NCG10127,Millers Creek,"community in central Wilkes County near the head of Millers Creek. Alt. 1,423."
NCG10128,Millers Landing,N Tyrrell County on Alligator Creek.
NCG10129,Millers Station,See Miller.
NCG10130,Millers Township,S Alexander County.
NCG10131,Millersville,"community in S central Alexander County. Named for one Miller, owner of an antebellum cotton mill there."
NCG10132,Millford,"former community in E Vance County at Southerland Millpond. Appears on the MacRae map, 1833, but the name was out of use by 1913."
NCG10133,Milligan,"community in S Cleveland County served by post office, 1889-1902."
NCG10134,Millingport,community in W Stanly County.
NCG10135,Mills Bay,a bay in the N end of Church Island in Currituck Sound in central Currituck County.
NCG10136,Mills Creek,rises in W Transylvania County and flows E into Toxaway River.
NCG10137,Mills Gap,"on Point Lookout Mountain, E Henderson County. Named because it was used by William Mills, first-known white settler of Henderson County, when he crossed the mountains after being wounded at the Battle of Kings Mountain."
NCG10138,Mills Mountain,"between McDowell Creek and Foster Creek in N Henderson County. Alt. 2,761."
NCG10139,Mills Pond,lake in SW Wake County on Basal Creek. Originally named Norris Pond. Renamed in 1925 for the owner. Covers 58 acres and has a max. depth of 20 ft.
NCG10140,Mills Ridge,a strip of high ground in N Tyrrell County S of Big Savanna from near the community of Levels and supporting a road on its surface. Extends E to W.
NCG10141,Mills River,"community on Mills River in W Henderson County; inc. 2003. Alt. 2,077. A post office operated there since 1838."
NCG10142,Mills River Township,NW Henderson County.
NCG10143,Millsaps,See Santeetlah.
NCG10144,Millseat Branch,rises in NE Cherokee County and flows SW into Valley River.
NCG10145,Millshoal Township,NE Macon County.
NCG10146,Millstone Creek,See Big Governors Creek.
NCG10147,Millstone Mountain,N Montgomery County on Barnes Creek.
NCG10148,Milltown,community in central Graham County on Long Creek.
NCG10149,Millville,See Rockwell.
NCG10150,Millwood,See Gilkey.
NCG10151,Milray Knob,S Watauga County E of Boone Fork and NW of Cannon Branch.
NCG10152,Milton,See Hamilton.
NCG10153,Milton Township,NE Caswell County.
NCG10154,Milwaukee,"town in E Northampton County. Inc. 1915. Settled about 1889 and known first as Bethany. Said to have been named by Hezekiah Lasker, railroad conductor, for the city in Wisconsin. Alt. 85."
NCG10155,Mimosa,See Melrose.
NCG10156,Mimosa Shores,community in W Beaufort County on Pamlico River.
NCG10157,Mince Branch,rises in W Jackson County and flows SW into Long Branch.
NCG10158,Mine Branch,rises in E Yancey County and flows SW into South Toe River.
NCG10159,Mine Creek,rises in N Wake County and flows S into Crabtree Creek.
NCG10160,Mine Fork,rises in N central Yancey County and flows NE into Jacks Creek.
NCG10161,Mine Fork Branch,rises in E Mitchell County and flows NW into Right Fork [Cane Creek].
NCG10162,Mine Fork Ridge,E Mitchell County between Bee Branch and Mine Fork Branch.
NCG10163,Mine Gap,S Henderson County between King Mountain and Butt Mountain.
NCG10164,Mine Hill,E Mitchell County between Buchanan Hollow and Cane Creek.
NCG10165,Mine Knob,E Yancey County near the head of Shoal Creek.
NCG10166,Mine Mountain,SE Henderson County on Pacolet River.
NCG10167,Mine Mountain,"N Transylvania County, extends S beside North Prong Turkey Creek."
NCG10168,Mine Ridge,"NE Swain County in Great Smoky Mountains National Park, a spur extending SW from Hughes Ridge, lat. 35°36'20"" N., long. 83°18'38"" W."
NCG10169,Minehole Gap,"S Buncombe County between Chestnut Mountain and Cedar Cliff. Alt. 2,555. Named because in the first quarter of the nineteenth century, very crude iron ore was mined nearby."
NCG10170,Mineola,"community in NW Beaufort County; formerly known as Old Ford. Served by post office, 1898-1903."
NCG10171,Mineral Creek,rises in NE Buncombe County and flows NW to join Carter Creek in forming Stony Creek.
NCG10172,Mineral Gap,"in Great Smoky Mountains National Park on the Swain County, N.C.-Blount County, Tenn., line near the head of Roaring Creek, lat. 35°34'08"" N., long. 83°40'55"" W. Alt. approx. 5,280."
NCG10173,Mineral Springs,"located approx. 4 mi. E of Hookerton on Contentnea Creek in E Greene County on the Jim Smith plantation. A high ridge rises on the S side of the creek. The springs, on the slope of the hill, formerly were quite popular as a source of supposedly healthful waters. Several acres of adjacent lowlands are covered with laurel."
NCG10174,Mineral Springs,"town in W Union County. Inc. 1905. Post office est. as Potters, 1891. Name changed to Mineral Springs in 1900. Reincorporated 1999. Site of Queen's Cup steeple-chase event. Alt. 631."
NCG10175,Mineral Springs Township,N Richmond County.
NCG10176,Minersville,mining community in SE McDowell County near Dysartsville.
NCG10177,Mines Creek,rises in NW Bladen County and flows E into Cape Fear River.
NCG10178,Mingo,"community in NW Sampson County. A post office operated there, 1875-1903. Takes its name from East Mingo Branch (or Mingo Swamp). Mingo was an Indian word for a treacherous person."
NCG10179,Mingo Creek,rises in NE Swain County and flows NW into Raven Fork.
NCG10180,Mingo Mill,See Burnt Mill Creek.
NCG10181,Mingo Swamp,See East Mingo Branch.
NCG10182,Mingo Township,NW Sampson County.
NCG10183,Mingus Creek,"in Great Smoky Mountains National Park, rises in NE Swain County and flows S and E into Oconaluftee River."
NCG10184,Mingus Ridge,"W Haywood County, extends SE between Winchester Creek and Little Branch."
NCG10185,Mining Branch,rises in N central Transylvania County and flows SE into King Creek.
NCG10186,Mining Ridge,"NW Henderson County, extends SE from Big Knob to Queen Creek."
NCG10187,Mink Neck,community in SE Hertford County.
NCG10188,Minneapolis,community in central Avery County. Post office est. 1911 and named for the city in Minnesota. Inc. 1911; charter repealed 1915. An extensive deposit of asbestos was mined there at one time.
NCG10189,Minneapolis Ridge,central Avery County.
NCG10190,Minnesott Beach,"resort area in S Pamlico County on Neuse River. Developed by Hardison family, largely under the direction of Naaman Hardison, after World War I. Named for an Indian word said to mean ""land of sky blue water."""
NCG10191,Minnie,"community in N Mecklenburg County served by post office for about 10 years beginning in 1898. Named for Minnie Barnhardt, first postmaster."
NCG10192,Minor,"community in W Cabarrus County served by post office, 1898-1906."
NCG10193,Minpro,community in S Mitchell County on North Toe River.
NCG10194,Mint Branch,rises in central Macon County and flows SW into Mill Creek.
NCG10195,Mint Hill,"town in SE Mecklenburg County. Site of Philadelphia Presbyterian Church, organized 1770. Inc. 1899, but long inactive in municipal affairs."
NCG10196,Minton,"former community in S Wilkes County near Smithies Creek. Named for Meridy Minton, eighteenth-century settler. The Smitheys Creek Public Use Area on W. Kerr Scott Reservoir is there."
NCG10197,Mintons,See Mintonsville.
NCG10198,Mintons Store,community in SW Hertford County.
NCG10199,Mintonsville,"community in S Gates County. Post office in 1828 was Minton's, but by 1830 known as Mintonsville."
NCG10200,Mintonsville Township,S Gates County.
NCG10201,Mintz,"community in W Sampson County. Named for Wm. Ashe Mintz, whose daughter Mittie was first postmaster, 1900."
NCG10202,Miranda,"community in W Rowan County served by post office, 1830-1903."
NCG10203,Mirey Branch,rises in SE Onslow County and flows NE into Turpentine Creek.
NCG10204,Mirror Lake,SE Macon County on Cullasaja River. Area approx. 50 acres; max. depth 40 ft.
NCG10205,Miry Branch,rises in W Nash County and flows E into Tar River.
NCG10206,Miry Gut,"N central Carteret County, flows E into South River."
NCG10207,Misenheimer,"community in NW Stanly County. Alt. 675. Former resort in the 1880s and 1890s known as Misenheimer Springs, which is still the name of the railroad station. Home of Pfeiffer University. Inc. 1903 as Gladstone, but the charter was repealed in 1909, and the name later changed to Misenheimer. Rein-corporated 2003."
NCG10208,Misenheimer Springs,See Misenheimer.
NCG10209,Miser Creek,rises in W Transylvania County and flows SE into Parker Creek.
NCG10210,Miss Creek,rises in SE Polk County and flows NE into Whiteoak Creek.
NCG10211,Mission,community in W Stanly County. Named for a local church.
NCG10212,Mission Branch,rises in E Cherokee County and flows SW into Hiwassee River.
NCG10213,Mission Mountain,"E Cherokee County, extends NE from the headwaters of Suddereth Branch to the mouth of Moody Branch."
NCG10214,Mistletoe Creek,rises in N Cherokee County and flows SW into Tellicoe River.
NCG10215,Mitchell,community in S Carteret County on Bogue Sound near the mouth of Spooners Creek.
NCG10216,Mitchell Branch,rises in central Yancey County and flows SE into Little Crabtree Creek.
NCG10217,Mitchell County,"was formed in 1861 from Yancey, Watauga, Caldwell, Burke, and McDowell Counties. Located in the W section of the state, it is bounded by the state of Tennessee and by Avery, McDowell, and Yancey Counties. It was named for Elisha Mitchell (1793-1857), professor at the University of North Carolina who was killed while exploring the peak that now bears his name—the highest point E of the Mississippi. Area: 220 sq. mi. County seat: Bakersville, with an elevation of 2,550 ft. Townships are Bakersville, Bradshaw, Cane Creek, Fork Mountain, Grassy Creek, Harrell, Little Rock Creek, Poplar, Red Hill, and Snow Creek. Produces tobacco, Christmas trees, apples, corn, hay, dairy products, livestock, textiles, apparel, hosiery, lumber, mica, gypsum, feldspar, kaolin, and quartz."
NCG10218,Mitchell Cove,W Haywood County on the head of Mitchell Cove Branch.
NCG10219,Mitchell Cove Branch,rises in W Haywood County and flows SE into Jonathans Creek.
NCG10220,Mitchell Creek,rises in S Yancey County and flows NE into Timber Creek. See also Mitchell Falls.
NCG10221,Mitchell Falls,S Yancey County on Mitchell Creek. It was there that Elisha Mitchell fell to his death in June 1857.
NCG10222,Mitchell Lick,on Cherokee-Graham county line approx. ½ mi. from the North Carolina-Tennessee state line on the headwaters of Snowbird Creek. It is a site at which early settlers salted stock and to which wild animals also came for salt.
NCG10223,Mitchell Mountain,NE Henderson County.
NCG10224,Mitchell Ridge,S Yancey County between Mitchell and Timber Creeks.
NCG10225,Mitchell River,"rises in SE Alleghany County and flows E into Surry County, where it enters Yadkin River. Appears on the Collet map, 1770."
NCG10226,Mitchell Swamp,rises in W Robeson County and flows S into South Carolina.
NCG10227,Mitchell's Island,"W Craven County in Trent River. Size: 361 acres, partly cultivated; the remainder is swamp."
NCG10228,Mitchells Fork,community in S Gates County.
NCG10229,Mitchells Township,N central Bertie County.
NCG10230,Mitcheners Pond,"W Franklin County on Buffalo Creek. Formed in 1907. Covers 50 acres, with a max. depth of 12 ft."
NCG10231,Mitchenor's Station,See Selma.
NCG10232,Mitchiners Crossroads,community in NW Franklin County.
NCG10233,Mitford,"community in SW Rowan County served by post office, 1891-1903."
NCG10234,Mix,"community in NW Sampson County served by post office, 1886-1906."
NCG10235,Mixon Bay,E Beaufort County E of Bayview and opening into Pamlico River.
NCG10236,Mizell,community in NW Washington County.
NCG10237,Mizpah,"community in S Stokes County served by post office, 1884-1932."
NCG10238,Moadam's Creek,rises in E Alamance County and flows W into Back Creek.
NCG10239,Mobley Point,extends from W Carteret County into White Oak River.
NCG10240,Moccasin Canal,"E Washington County, drains from the N shore of Lake Phelps NE to Scuppernong River. Approx. 4.2 mi. long."
NCG10241,Moccasin Creek,rises in W Wilson County and flows S and SE into Contentnea Creek.
NCG10242,Moccasin Gap,W Madison County between Partridge Gap Ridge and Hopis Branch.
NCG10243,Moccasin Mountain,"S Cherokee County, extends SE from Sheep Knob to the Clay County line."
NCG10244,Moccasin River,a name sometimes applied to the lower part of Contentnea Creek after it has been joined by Little Contentnea Creek. The section of the creek lies on the Lenoir-Pitt county line.
NCG10245,Moccasin Swamp,rises in E Johnston County and W Wayne County and flows S on the Johnston-Wayne county line into Neuse River.
NCG10246,Mocksville,"town and county seat, central Davie County. Named for the Mock family, owners of the land on which the town was founded. Inc. 1839. Post office est. there, 1826. Produces apparel, furniture, chemicals. Alt. 866."
NCG10247,Mocksville Township,central Davie County.
NCG10248,Moffet Branch,rises in S Clay County and flows N into Shooting Creek.
NCG10249,Moffitt,"community in SE Randolph County on Richland Creek. Named for Hugh Moffitt, who operated the first flour and feed mill there. A post office est. 1823 and discontinued 1935 was known as Moffitt's Mills."
NCG10250,Moffitt Hill,community in SW McDowell County.
NCG10251,Moffitt Mountain,E Jackson County between Chastine Creek and Coward Mountain.
NCG10252,Moffitt's Mills,See Moffitt.
NCG10253,Mohawk,"community in W Harnett County served by post office, 1891-1908."
NCG10254,Mojoson,community in NW Guilford County.
NCG10255,Molasses Creek,"a tidal creek in SE Brunswick County, rises in the swampy NE part of Oak Island and flows E into Elizabeth River."
NCG10256,Mollie,community in S Columbus County.
NCG10257,Mollie Branch,rises in W Avery County and flow E into Roaring Creek.
NCG10258,Mollie Ridge,W Avery County.
NCG10259,Molly Fork,rises in NE Rutherford County and flows SE and NE into First Broad River.
NCG10260,Moltonville,community in E Sampson County.
NCG10261,Momeyer,"community in W central Nash County. Est. about 1910 and named for Thomas Momeyer, local resident who est. a sawmill there. Previously the community had been known as Bass's Crossroads. Alt. 190."
NCG10262,Mon Swamp,in SE Tyrrell County.
NCG10263,Monbo,"community in E Catawba County on Catawba River. Named Mont Beau by the owner of a local cotton mill, but residents of the area soon corrupted the name into its present form. See also East Monbo."
NCG10264,Moncure,"community in SE Chatham County on Deep River. A post office est. there in 1877. Inc. 1905; charter repealed1935. Named for Thomas Jefferson Moncure, civil engineer, who built the railroad station. The former town of Haywood is immediately SE of Moncure."
NCG10265,Mondine Branch,"rises in S Jones County and flows S into White Oak River. Probably named for the Mundine family, early settlers."
NCG10266,Money,See Etowah.
NCG10267,Money Island,"E New Hanover County in Greenville Sound W of Wrightsville Beach. Several acres in area, it is the traditional hiding place of pirate treasure."
NCG10268,Money Island Bay,"in Bogue Sound, S Carteret County between Atlantic Beach and Tar Landing Bay and opposite Morehead City."
NCG10269,Money Island Swamp,rises in central Carteret County and flows SW into Black Creek.
NCG10270,Monger Creek,rises in SE Macon County and flows NE into Lake Sequoyah.
NCG10271,Monie Swamp,is formed in S Columbus County by Gum Swamp and Beaverdam Swamp. It flows S to join Big Cypress Swamp in forming Seven Creeks.
NCG10272,Monkey Island,"in Currituck Sound, N Currituck County 4 mi. E of Church Island. Approx. ½ mi. square. Site of an old hunting lodge. Appears on the Collet map, 1770."
NCG10273,Monkey Junction,See Fort Fisher Junction.
NCG10274,Monks Crossroads,community in N Sampson County between Mill and Craddock Swamps.
NCG10275,Monroe,"former community in NE Warren County on Roanoke River. Grew up around Robinson's Ferry after Clack Robinson laid out a town on his lands near the ferry in 1818, named it for President James Monroe, and sold lots to prospective citizens; a post office, tavern, racetrack, tobacco warehouse, and stores soon sprang up. It was shown on the MacRae map, 1833, as a well-established community. In 1840, when the Raleigh and Gaston Railroad was completed, it began a rapid decline."
NCG10276,Monroe Mountain,"N Cherokee County between Allen Branch and Davis Creek. Alt. 3,171."
NCG10277,Monroe Township,central Union County.
NCG10278,Monroes Millpond,N Scotland County on Jordans Creek. Formed about 1825; known in the 1850s as McWilliams Pond. Covers 70 acres; max. depth 14 ft. Owned by Fayetteville Presbytery and used as a recreation area.
NCG10279,Monroeton,"community in S Rockingham County between Troublesome Creek and Haw River. Est. prior to 1832; probably named for James Monroe (1758-1831), president of the United States. Cunningham Mill, built by James Patrick Sr. in 1818, still stands nearby. Patrick cemetery has graves dating from 1771. Cotton gin est. 1835."
NCG10280,Monroetown,"an African American community in S Moore County approx. 4 mi. N of Pinehurst. Named for John Monroe, who est. the settlement about 1915."
NCG10281,Mont Beau,See Monbo; East Monbo.
NCG10282,Montague,community in SW Pender County. Alt. 39. Named for a local resident.
NCG10283,Monteith,"community in E Mecklenburg County served by post office, 1880-1903."
NCG10284,Monteith Branch,rises in N Jackson County and flows SE into Scott Creek.
NCG10285,Montezuma,"community in central Avery County. Known first as Bull Scrape (see Bullscrape Gap). Inc. 1891. Post office est. there in 1883 as Aaron; name changed to Montezuma in 1911. Named for Aztec chief of ancient Mexico (1479-1520). Long inactive in municipal affairs. Alt. 3,797."
NCG10286,Montford,former town in central Buncombe County. Inc. 1893; became a part of Asheville in 1905.
NCG10287,Montford Cove Church,See Whitehouse.
NCG10288,Montford Cove Township,S central McDowell County.
NCG10289,Montford Point,See Mount Pleasant Point.
NCG10290,Montgomery,See Graham.
NCG10291,Montgomery Corner,"a point on the North  Carolina-Georgia state line at the SE end of Sharptop Ridge, SE Clay County due S of 30 Mile Post, which see. From the point, the state line runs W to the junction of the North Carolina-Georgia-Tennessee state lines."
NCG10292,Montgomery County,"was formed in 1779 from Anson County. Located in the S central section of the state, it is bounded by Moore, Richmond, Stanly, Davidson, and Randolph Counties. It was named for Gen. Richard Montgomery (1736-75), Revolutionary War leader who was killed in the Battle of Quebec. Area: 499 sq. mi. County seat: Troy, with an elevation of 664 ft. Townships are Biscoe, Cheek Creek, Eldorado, Little River, Mount Gilead, Ophir, Peedee, Rocky Springs, Troy, and Uwharrie. Produces peaches, oats, wheat, corn, tobacco, cotton, poultry, hogs, livestock, cantaloupes, watermelons, textiles, furniture, packaging, carpets, mobile homes, lumber, apparel, clay, slate, pyrophyllite, and sand."
NCG10293,Montgomery Slough,a tidal waterway in SE Brunswick County located just inside Long Beach and extending 2½ mi. W to Eastern Channel.
NCG10294,Monticello,community in W Harnett County.
NCG10295,Monticello,"former community and post office in SW Washington County approx. 1½ mi. N of the Tare-over. Settled prior to 1886; post office, 1893-96."
NCG10296,Montland,"community in W Alleghany County served by post office, 1892-1904."
NCG10297,Montpelier,See Wagram.
NCG10298,Montreat,"town in NE Buncombe County on Flat Creek. Alt. 2,500. Est. by Mountain Retreat Association, chartered 1897. Montreat is derived from the words ""Mountain Retreat."" Later acquired by Presbyterian Church and now operated as its Assembly Grounds (4,500 acres). Historical Foundation (library and museum) and Montreat College are there. Inc. 1967."
NCG10299,Montrose,community in W Hoke County. Alt. 483.
NCG10300,Montvale,community in SW Transylvania County.
NCG10301,Moody Branch,rises in E Cherokee County and flows S into Peachtree Creek.
NCG10302,Moody Branch,rises in NE Swain County and flows N into Bunches Creek.
NCG10303,Moody Cove,N Buncombe County W of Pine Mountain.
NCG10304,Moody Gap,on the Buncombe-Madison county line E of Moody Knob.
NCG10305,Moody Knob,NW Jackson County between Camp Creek and Hyatt Cove.
NCG10306,Moody Mountain,S Yancey County between Bowlens and Cattail Creeks.
NCG10307,Moody Stamp,NE Cherokee County in the Snowbird Mountains.
NCG10308,Moody Top,"W Haywood County between Fie Top and Hemphill Creek. Alt. 5,320."
NCG10309,Moodys Mill Creek,rises in SW Watauga County and flows NE into Spice Bottom Creek.
NCG10310,Moon Creek,rises in W Caswell County and flows NE into Dan River.
NCG10311,Mooney Branch,rises in S Macon County and flows SE into Hemp Patch Branch.
NCG10312,Mooney Gap,at the head of Mooney Branch in S Macon County.
NCG10313,Moore,"community in W Orange County served by post office, 1897-1905."
NCG10314,Moore Branch,rises in S Watauga County and flows NW into Middle Fork [South Fork New River].
NCG10315,Moore County,"was formed in 1784 from Cumberland County. Located in the S central section of the state, it is bounded by Cumberland, Harnett, Hoke, Scotland, Richmond, Montgomery, Randolph, Chatham, and Lee Counties. It was named for Capt. Alfred Moore (1755-1810) of Brunswick County, a Revolutionary War soldier and a judge on the U.S. Supreme Court. Area: 760 sq. mi. County seat: Carthage, with an elevation of 575 ft. Townships are Carthage, Bensalem, Sheffields, Ritters, Deep River, Greenwood, McNeills, Sandhills, Mineral Springs, Little River. Produces corn, wheat, hay, oats, poultry, eggs, livestock, hogs, carpets, hosiery, textiles, canned foods, furniture, pyrophyllite, sand, clay, and gravel."
NCG10316,Moore Cove,between Bear Branch and Seniard Mountain in NW Henderson County.
NCG10317,Moore Creek,rises in SW Buncombe County near Stony Knob and flows SE into Hominy Creek.
NCG10318,Moore Creek,rises in SW Macon County and flows SW into Nantahala River. Also known locally as Jarrett Creek.
NCG10319,Moore Gap,"on the Madison-Yancey county line near the head of Possumtrot Creek. Alt. approx. 3,100."
NCG10320,Moore Inlet,NE New Hanover County between Mason Inlet on the N and Masonboro Inlet on the s. The waters of Middle Sound enter the Atlantic Ocean through the inlet. Sometimes known as Wrightsville Inlet.
NCG10321,Moore Knob,E Macon County between Ellijay Creek and North Prong Ellijay Creek.
NCG10322,Moore Mountain,central Avery County.
NCG10323,Moore Springs Branch,"in Great Smoky Mountains National Park, rises in NW Swain County and flows SW into Twentymile Creek."
NCG10324,Moore's Lake,central Anson County. Formed 1948. Fed by two springs. Covers 11 acres; max. depth 24 ft. Fishing and boating. Took its name from owner Bernard W. Moore.
NCG10325,Moores Beach,"community in E Beaufort County on the N shore of Pamlico River, 35°23'51"" N., 76°37'15"" W. Formerly known also as Wade Point and Wades Point."
NCG10326,Moores Branch,rises in central Clay County between Church Branch and Moss Branch and flows S into Tusquitee Creek.
NCG10327,Moores Corner,community in S Pamlico County.
NCG10328,Moores Creek,"rises in NW Pender County and flows S into Black River. Sometimes referred to as Widow Moores Creek in the eighteenth century; probably named for the ""Widow Eliz Moore,"" who owned land adjacent as early as 1735. It was on the stream that the Battle of Moores Creek Bridge was fought on February 27, 1776, the first battle of the Revolutionary War in North Carolina. See also Currie."
NCG10329,Moores Crossroads,community in W Wilson County near the head of Lee Swamp.
NCG10330,Moores Knob,"in the Sauratown Mountain range, W Stokes County in Hanging Rock State Park. See also Tories Den."
NCG10331,Moores Pond,"S Franklin County on Little River. Covers 100 acres, with a max. depth of 10 ft."
NCG10332,Moores Spring,"former community and resort in W Stokes County on Cascade Creek. Flourished from about 1870 until the early twentieth century. The hotel burned about 1935, and the site is now a popular campground. Bottled water from the spring was widely marketed."
NCG10333,Mooresboro,"community in W Cleveland County. Alt. 970. Settled in 1780s; inc. 1885. Charter repealed 1943. Named for Lem Moore, an early settler."
NCG10334,Mooresville,See Warsaw.
NCG10335,Moose Cove,central Cherokee County.
NCG10336,Mooshaunee,community in N Moore County founded around railroad siding and school.
NCG10337,Moratock,"community in W Montgomery County served by post office, 1892-1926."
NCG10338,Morattico River,See Roanoke River.
NCG10339,Moratuc,"village of the Moratuc Indian tribe on the Roanoke River near the present junction of Bertie, Martin, and Washington Counties. Appears on the White map, 1585; the Velasco map, 1611; and the Smith map, 1624. See also Roanoke River."
NCG10340,Moravian Creek,rises in S Wilkes County and flows NE into Yadkin River. Named for the fact that Moravians had a grant from Earl Granville (see Granville District) there in the eighteenth century.
NCG10341,Moravian Falls,"community in S Wilkes County between Moravian and Cub Creeks. Alt. 1,206. Est. in the late eighteenth century and named for the nearby waterfall."
NCG10342,Moravian Falls Township,S Wilkes County.
NCG10343,Morehead,See Rudd.
NCG10344,Morehead Bluffs,See Edgewater.
NCG10345,Morehead City,"town in S central Carteret County on Bogue Sound and Newport River. Summer resort and the only deep-sea port in the state N of Wilmington; state port facilities are there. Inc. 1861 and named for John Motley Morehead (1796-1866), governor of North Carolina, who had bought land there in 1853 as the terminus of a newly inc. railroad. Ships are built there; produces asphalt and apparel. The site was formerly known as Shepherds’ Point, which see. Alt. 16."
NCG10346,Morehead Township,central Guilford County. Named for Governor John Motley Morehead (1796-1866) of Greensboro. Covers most of the W half of Greensboro.
NCG10347,Moretz,"community in NE Watauga County on Meat Camp Creek. A post office operated there, 1849-1910."
NCG10348,Morgan Bay,in central Onslow County in New River.
NCG10349,Morgan Branch,rises in N Buncombe County and flows N into McKinney Branch.
NCG10350,Morgan Branch,rises in central Clay County and flows NW then SW into Cold Branch.
NCG10351,Morgan Cove,SW Buncombe County SW of Luthers.
NCG10352,Morgan Creek,rises in S Pender County and flows SW into Long Creek.
NCG10353,Morgan District,"at the time of the 1790 census, was composed of Burke, Lincoln, Rutherford, and Wilkes Counties."
NCG10354,Morgan Hill,peak in S Transylvania County near the mouth of Cherryfield Creek.
NCG10355,Morgan Hill,community in N Buncombe County.
NCG10356,Morgan Mill Creek,rises in S Transylvania County and flows SE then NE into French Broad River.
NCG10357,Morgan Mills Ford,"N Union County on Rocky River. Site of a large gristmill dating from the middle of the nineteenth century. The building and machinery still stand, but the mill no longer operates."
NCG10358,Morgan Ridge,"N Buncombe County, an extension of Bill Cole Mountain."
NCG10359,Morgan Township,NW Rutherford County.
NCG10360,Morgan's Branch,rises in N Wilson County and flows SE into Cattail Swamp.
NCG10361,Morgan's Mills,community in NE Union County.
