ID,Label,Feature type,Description
NCG07148,Hogg's Folly,Area,"name formerly applied to a tract of land in W New Hanover County adjoining Wilmington on the n. John Hogg, in the eighteenth century, by means of a ditch, enclosed a tract of land on which he intended to establish a market garden. Evidently, failure of the project produced the name."
NCG07151,Hoggard's Mill,Mill,"2 mi. N of Windsor in SE Bertie County on Hoggard Mill Creek. The large pond there was the site of Lockhart Mill according to the Collet map, 1770. The surrounding community was known as Wolfington and was the county seat from 1722 until it was moved to Windsor in 1774. By 1833 the site bore its present name. See also Hoggard Mill Creek."
NCG07187,Hollands Sein Hole,Freshwater area,a shallow place in Northeast Cape Fear River in central Duplin County suitable for seining.
NCG07197,Hollow Rock,Geological formation,former rock cave on Deep River in SE Chatham County near Moncure. Said to have been used for shelter by Indians. Destroyed in 1957 for gravel for road construction.
NCG07200,Holloway Mines,Business or business district,copper mines on Aarons Creek in NW Granville County. Operated from shortly prior to 1900 to about 1910 and again briefly during World War I.
NCG07257,Hoof Inn,Business or business district,an early nineteenth-century tavern in W Washington County located on what is now the Plymouth-Pinetown road approx. midway between Ausbon and Hinson.
NCG07275,Hoophole Landing,Transportation,E Beaufort County on Pungo River. A small community adjoining the landing bears the same name.
NCG07281,Hoover Meadow,Area,SE Yancey County between the SW end of Dovers Ridge and Sevenmile Ridge.
NCG07335,Horse Pool,Body of water,"appears on the Moseley map, 1733, in what is now E Gates County in the W edge of the Dismal Swamp."
NCG07371,Horton Hill,Hill,N Yancey County between Bee Branch and Sidney Hill.
NCG07406,Howard Reef,Seawater area,SE Hyde County in Pamlico Sound approx. 1 nautical mi. N of Ocracoke Island; approx. 1¾ mi. long and over ½ mi. wide.
NCG07453,Huggins Hell,Area,"thicket of rhododendron and laurel covering between 400 and 500 acres in N Swain County in Great Smoky Mountains National Park. Named for Irving Huggins, early settler, who was trapped there for several days while herding cattle."
NCG07523,"Hurricane, The (HARRY-kin)",Area,SE corner of Granville County and parts of Franklin and Wake Counties where a storm wreaked havoc in the nineteenth century.
NCG07549,Hymans Ferry,Transportation,"former ferry across Roanoke River, S Bertie County."
NCG07583,Indian Ford,Transportation,"shallow rock formation in Contentnea Creek, central Wilson County, ½ mi. below Contentnea Lake. Mentioned in early records as ""the falls,"" below which the stream is navigable by boat."
NCG07591,Indian Landing,Transportation,E Beaufort County on Pungo River.
NCG07603,Indian Wells,Area,"indicated on the Price map, 1808, and the MacRae map, 1833, as four wells on Cape Fear River in SE Bladen County. Possibly these were natural artesian wells, common to the area."
NCG07604,Indian Woods,Native American settlement,"central Bertie County, a reservation set aside in 1717 for the Tuscarora Indians remaining in North Carolina after the war of 1711-13. The Indians later joined relatives in New York, and the state sold the tract of land in 1828."
NCG07632,Intracoastal Waterway,Transportation,"extends from Gloucester, Mass., to Key West, Fla., a distance of 1,950 mi., of which 308 are in North Carolina. It passes through sounds, rivers, and canals. The depth of the waterway is 12 ft., minimum width is 47 ft., and minimum vertical clearance is 80 ft. The oldest segment of the waterway in North Carolina was begun in 1856 as a private enterprise. In 1873 control and maintenance of the network of coastal canals was taken over by the U.S. Corps of Engineers, and work was expanded through the 1940s. Pleasure craft, towed barges, and small freight boats use the Intracoastal Waterway."
NCG07634,Invershiel,Business or business district,"mountain resort in E Avery County near Grandfather Mountain. A village containing shops, a church, and other buildings is modeled after an old Scottish village. Named for the village in Scotland, ancestral home of the MacRae family, developers of the resort. Est. 1966."
NCG07640,Iowa Hill,Hill,E Mitchell County between Beaver Creek and North Toe River.
NCG07682,Island Creek District,District,"formerly a census precinct in what is now NW Vance County approx. 2 mi. W of the town of Williamsboro. By 1790, 107 heads of families had settled in the area."
NCG07683,Island Creek Reservoir,Body of water,"in the NW corner of Vance County, is fed by Island Creek and Little Island Creek. It is separated from Kerr Lake by a dike that prevented the flooding of nearby tungsten mines. Extends about 5 mi. along the Granville-Vance county line. Formed about 1952 after the completion of Kerr Lake."
NCG07685,Island Ford,Transportation,across Yadkin River in W Surry County near the community of Jonesville. Mentioned in local records as early as 1778.
NCG07688,Isle Hatton,Island,"island in Pamlico Sound that cannot now be identified; appears on the Smith map, 1624."
NCG07750,Jackson Town,Proposal,was laid out in Rockingham County by Virginia promoters in 1818 on N side of Dan River at Eagle Falls. Failed to develop.
NCG07825,Jenkins Divide,Mountain feature,N Jackson County between Big Witch Creek and Jenkins Creek.
NCG07882,Jobs Peak,Mountain feature,SE Buncombe County near the McDowell county line N of Evans Knob.
NCG07948,Johnston,Populated place,"former county seat in S Onslow County on New River. Est. 1741; destroyed by a hurricane in September 1752 and abandoned. Named for Gabriel Johnston (1699-1752), governor of North Carolina, 1734-52."
NCG07994,Joppa Cemetery,Burial ground,"burial ground W of Mocksville in Davie County. Graves of Squire and Sarah Boone, parents of Daniel Boone, are there."
NCG08002,Jordans Landing,Transportation,"on Roanoke River, S Bertie County. The house on the Jordan plantation there is one of the oldest in the county."
NCG08022,Judaculla Rock,Rock,central Jackson County 3½ mi. SE of East Laport on Caney Fork. Large rock covered with well-preserved Indian picture writing of unknown origin and meaning.
NCG08056,Jumpoff Rock,Rock,"W Henderson County on Jumpoff Mountain. Used by Indians as a post for sentinels to observe the approach of enemies up French Broad River valley. During the 1920s a resort, the Fleetwood Hotel, was begun there but never completed."
NCG08146,Kenan Ditch,Depression,a drain in S Duplin County to carry the waters of Kenan Pocosin into Northeast Cape Fear River.
NCG08161,Kennedy Ford,Transportation,NE Union County in Rocky River.
NCG08166,Kenricks Mounts,Sand hill,"or sand dunes fixed by vegetation, are shown on the White map, 1590, somewhat S of the present community of Rodanthe on Hatteras Island, E Dare County. The dunes presumably were submerged with Cape Kenrick, which see."
NCG08176,Kernersville Water Reservoir,Body of water,"on Kerners Mill Creek, E Forsyth County. Formed 1953. Covers 120 acres; max. depth 25 ft."
NCG08184,Kettle Rock,Rock,SE Macon County between Big Dog Mountain and Chinquapin Mountain.
NCG08192,Kilbart Slough,Waterway,a short tidal creek in SW Brunswick County that joins the channel of the Intracoastal Waterway N of Hales Beach.
NCG08200,Kilkenny Landing,Transportation,S Tyrrell County on Alligator River.
NCG08201,Kill Devil Hill,Sand hill,"large sand hill, E Dare County, appears first on Price map, 1808. It was from Kill Devil Hill in 1903 that the Wright Brothers made the first successful powered airplane flight. Site of 60-foot-tall monument honoring the achievement."
NCG08203,Kill Devil Hills Coast Guard Station,Coast Guard station,on N Bodie Island in E Dare County. First est. as a life-saving station in 1878-79. Life-saving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915.
NCG08222,Kinack,Area,"a name appearing on the Ogilby map, 1671, for the land now in Craven County between Upper Broad Creek and Swift Creek."
NCG08232,Kings Bluff,Waterway,"United States Lock Number 1 on Cape Fear River, SE Bladen County."
NCG08251,Kinnakeet Banks,Shore,the name commonly given to the middle section of Hatteras Island in E Dare County extending S from Chicamacomico Banks to Hatteras Woods. Also spelled Kennekeet Banks.
NCG08285,Kittrell's Springs,Spring,"health resort and social and recreational center in the nineteenth century. Served as Confederate hospital. Springs are ½ mi. W of the town of Kittrell, SW Vance County."
NCG08339,"Lagoon, The",Body of water,"S Buncombe County, is separated from the French Broad River by a narrow strip of land S of city of Asheville near the Biltmore Estate."
NCG08447,Land of Eden,Estate,"former 20,000-acre tract belonging to William Byrd (1674-1744) along the Dan River, N Rockingham County. Byrd surveyed area in 1728. Named because of its Garden of Eden qualities. An additional 6,000 acres were granted to Byrd's son in 1742. Purchased from the younger Byrd by the Farley family in 1755; by 1769 it had been divided into farms and plantations. The town of Eden, formed in 1967 by the merger of Leaksville, Spray, and Draper, took its name from Byrd's estate."
NCG08454,Lane Pinnacle,Mountain feature,"N Buncombe County at the E end of Bull Mountain. Alt. 5,277. Named for the owner, Charles Lane, who, in the first quarter of the nineteenth century, operated an iron forge on Reems Creek. He obtained some of his ore from the mountain."
NCG08503,"Launch, The",Waterway,"a narrow inlet between Tull Bay and the mouth of North Landing River in NE Currituck County. Appears on the Collet map, 1770. Site of shipbuilding operations from colonial times until the present, hence the name."
NCG08505,Laurel Bottoms,Valley,valley in SE Avery County along the Linville River N of the town of Linville.
NCG08523,Laurel Hills,Hill,"rugged terrain S of Chapel Hill, SE Orange County."
NCG08534,Laurel Spur,Mountain feature,on the Watauga-Wilkes county line E of Stony Fork Creek.
NCG08548,Lawson Gant Lot,Area,"bald spot on Swain County, N.C.-Sevier County, Tenn., line near lat. 35°32'45"" N., long. 83°47'38"" W."
NCG08552,Lawyers Springs,Spring,"W Anson County on a tributary of Brown Creek. So named because lawyers on the way to court used to stop there. Local tradition says a party of lawyers, spending the night there, froze to death on a snowy winter night."
NCG08608,Lees Landing,Transportation,on Upper Broad Creek in W Pamlico County.
NCG08659,Lenox Castle,Business or business district,"former resort in SE Rockingham County. A tavern, baths, store, and springs made it a popular spa; probably operated prior to 1800, but flourished from 1803 until after 1844. Named for John Lenox, who advertised his tavern as ""The Castle of Thundertontrenck"" in 1804. A post office as late as 1882."
NCG08661,Lenoxville,Proposal,"a proposed town chartered in 1816 to be laid out on the lands of James McKinlay in S Carteret County E of Beaufort at present-day Lenox Point. Apparently it was never developed. A contemporary manuscript map of Lenoxville is in the North Carolina Collection, University of North Carolina at Chapel Hill."
NCG08726,Lick Rock,Rock,"on the Madison County, N.C.-Unicoi County, Tenn., line."
NCG08781,Lindley's Mill,Mill,"on Cane Creek in S central Alamance County, a short distance W of Sutphin. The site of a battle on September 13, 1781, in which John Butler's Whigs failed to rescue Governor Thomas Burke from David Fanning's Tories. The first gristmill there was erected in 1756 by Thomas Lindley."
NCG08796,Linn Cove Viaduct,Transportation,elevated section of Blue Ridge Parkway around Grandfather Mountain. Opened in 1987.
NCG08804,Linville Gorge,Geological formation,"a narrow defile through which the Linville River flows in NW Burke County. Extends from Linville Falls to Lake James. Linville Gorge ""wild area"" in Pisgah National Forest in Burke County, set aside on February 7, 1951, contains 7,655 acres preserved in their natural state. Foot trails make it accessible, but no other development is permitted."
NCG08859,Little Browns Landing,Transportation,on Cape Fear River in central Bladen County.
NCG08863,Little Brushy Mount,Mountain feature,"a range of mountains in E Caldwell and W Alexander Counties. Alts. from 1,850 to 1,890."
NCG08878,Little Cedar Cliff,Mountain feature,NE Buncombe County near Ingraham Mountain.
NCG08935,Little Florida,Body of water,"artificial pond in NW Tyrrell County formed in 1946 by the digging of sand from a farm to make a fill. Covers 3 acres; max. depth 30 ft. Named by C. E. Liverman, former owner, for name of the farm."
NCG08983,Little Kinnekeet Coast Guard Station,Coast Guard station,"decommissioned station on Hatteras Island, SE Dare County. First est. as a lifesaving station in 1874. Life-saving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915."
NCG08998,Little Manor,Estate,"Home of William Person Little, state senator from Warren County (1804-1806). The house was built in 1780 and is still standing."
NCG09029,Little Pinnacle,Mountain feature,S Macon County between Pinnacle Branch and the head of Jones Creek.
NCG09080,Little Sheep Cliffs,Mountain feature,S Jackson County between Horsepasture River and Sheep Cliffs.
NCG09144,Lloyds Meadows,Area,an area of meadow land approx. 2 mi. long and 1 mi. wide in E Onslow County at the head of Horse Swamp.
NCG09148,Loch Lily,Body of water,"lake on Storys Creek, NW Person County. Formed prior to 1928 and known first as Barnetts Pond, later as Lake Chub, and finally by its present name. Covers 94 acres; max. depth 12 ft."
NCG09172,"Locust Mountain, The",Mountain feature,on Burke-McDowell county line.
NCG09183,Log Shoal,Shoal,"in the waters of Pamlico Sound, S Dare County, off the S part of Hatteras Island and E of Bird Islands."
NCG09199,Lone Island Ford,Transportation,in central Rockingham County on Dan River at confluence of Dan River and Upper Hogan's Creek.
NCG09206,Long Acre,Elevation,"an elevated area of clay loam extending S from the head of Conaby Creek in W Washington County to Pungo Creek SE of the community of Pinetown in N central Beaufort County. The ridge is broken at the Tare-over in SW Washington County by Van Swamp. Appears on the Collet map, 1770. See also Tare-over."
NCG09212,Long Bottoms,Area,an area of approx. 50 acres of level old-field land between 2 mountains in SW Graham County on Snowbird Creek.
NCG09221,Long Bunk,Mountain feature,"ridge in W Haywood County in Great Smoky Mountains National Park extending SE from Mount Sterling Ridge, with its center near lat. 35°41'10"" N., long. 83°06'40"" W. Lies between Andy Branch and Dude Creek."
NCG09240,Long Levels,Elevation,a rocky elevation approx. 1½ mi. long in E Haywood County between the head of Silvers Cove Creek and Long Levels Branch. Numerous other small unnamed streams rise there.
NCG09249,Long Reach Sein Hole,Freshwater area,a shallow place in Northeast Cape Fear River in central Duplin County suitable for seining.
NCG09253,Long Shoal,Shoal,in the waters of Pamlico Sound off the SE mainland of Dare County. The waters of Parched Corn Bay lie between it and the mainland.
NCG09265,Longs Delight,Area,"appears on the Ogilby map, 1671, near the upper portion of the Cape Fear River. It was a name assigned probably for Capt. Anthony Long, member of an expedition led by Capt. William Hilton in 1663 to explore the lower Cape Fear region. See also Lockwoods Folly Inlet."
NCG09277,Looking Glass Rock,Rock,N Transylvania County on the SE end of Seniard Ridge in Pisgah National Forest. Named because the huge rock face of the mountain glistens like a giant mirror.
NCG09327,Lovers Leap,Elevation,high point overlooking Hiwassee River in central Cherokee County.
NCG09331,Loves Ford,Transportation,N Union County in Rocky River.
NCG09399,Lumber Bridge,Transportation,"across Cashie River in central Bertie County. Appears on the Collet map, 1770. The lumber bridge stood as late as 1833, and there is still a bridge across the river at the site."
NCG09447,Lyon Thorofare,Waterway,"SW Pender County, connects Cape Fear River with Black River approx. 4 mi. above their natural junction. Approx. 3 mi. long."
NCG09456,Macay's Mill,Mill,"an early Rowan County landmark. It was used as a recruiting place for soldiers during the Revolutionary War as well as a point of discharge. It was owned for many years by Judge Spruce Macay, who taught Andrew Jackson law in Salisbury. The mill, on Grants Creek in the SE section of the county, was built by Thomas Frohock and later sold to Macay. The mill was used until World War I, although the millpond was drained about 1870 because of fever epidemics. Appears on the Collet map, 1770, as Frohock Mill."
NCG09477,Mackeys Ferry,Transportation,"formerly located at the present community of Mackeys in N Washington County on Kendricks Creek. Shown as T. Bells Ferry on the Moseley map, 1733; purchased from Bell by Col. William Mackey in 1735; was in continuous operation until 1938. At the time it was dismantled, the ferry operated between Edenton in S Chowan County and the S shore of Albemarle Sound immediately N of Pleasant Grove in N Washington County."
NCG09489,Maggie Valley,Populated place,"resort center in W Haywood County. Named when the first post office was est. in 1909 for Maggie Mae Setzer (later Mrs. Ira Pylant of Hendersonville), daughter of the postmaster. Alt. 3,019."
NCG09500,Mahogany Rock,Rock,summer resort in S Alleghany County.
NCG09576,Maraton,Native American settlement,"village of the Moratuc Indian tribe, is shown on the Smith map, 1624, as being on the Chowan River in present E Chowan County downstream from Rockyhock Creek. The Comberford map, 1657, places the village farther upstream."
NCG09586,Margaret Peak,Mountain feature,"on the McDowell-Rutherford county line. Alt. 2,500."
NCG09606,Marl Pits,Point of interest,"on the head of Stewarts Creek in W Duplin County. Abounds in fossils, sharks’ teeth, and fossilized whalebones."
NCG09609,Marley's Ford,Transportation,former ford through Yadkin River W Wilkes County near the mouth of Stony Fork Creek. The site is now under the waters of W. Kerr Scott Reservoir.
NCG09675,Masequetuc,Native American settlement,"village of the Weapemeoc tribe probably situated on what is now the SE tip of Pasquotank County. Shown on the White map, 1585. Variant spelling: Masquetuc."
NCG09698,Matakomak,Area,"a name appearing on the Ogilby map, 1671, to designate the territory presently in Chowan County between Yeopim River and Pembroke Creek."
NCG09714,Mattamuskeet,Reserve,"former township in central Hyde County, now reported as ""Unorganized Territory."" Most of the area is now owned by the federal government and is a fish and wildlife reservation. Residents vote and list taxes in Lake Landing township."
NCG09759,Mayview Hill,Hill,S Watauga County on the head of China Branch.
NCG09905,Meadows Summit,Transportation,"former station on the Danville and Western Railroad, N Rockingham County. Was the high point on the railroad from Leaksville to present Eden."
NCG09907,"Meadows, The",Area,"area of level land in N Rockingham County along N side of Dan River. Once livestock production center. Described by surveying party of William Byrd, 1728."
NCG09930,Meeting of the Waters,Creek,creek in SE Orange County rising just S of the town of Chapel Hill and flowing SE into Morgan Creek.
NCG09951,Mentso,Seawater area,"marked as the central part of Pamlico Sound, present-day Hyde County, on the White map, 1590, but apparently a place on the shore, as the name comes from an Indian word meaning ""he cooks for the first time."" The word could be the name given a stopping place for eating on travels, perhaps the end of a day's journey in the direction from Roanoke Island."
NCG10029,Middle Ground,Shoal,"a former shoal between Oak Island and Bald Head (Smith Island) in SE Brunswick County; appears on the Collet map, 1770. It is called Sea Cattle on the Price map, 1808, but the shoal had eroded and was practically gone by 1833 (MacRae map)."
NCG10065,Milburnie,Body of water,"pond in E central Wake County on Beaverdam Creek. Covers 50 acres and has max. depth of 20 ft. Used for recreation. Named for the former community of Milburnie there. A post office, 1891-92, served the community, and a printing establishment operated there."
NCG10093,Mill Landing,Transportation,E Bertie County on Salmon Creek. Site of a gristmill built in 1771 by George Ryan and operated for many years; ruins still exist. Ships loaded cargo from the mill at the landing.
NCG10128,Millers Landing,Transportation,N Tyrrell County on Alligator Creek.
NCG10164,Mine Hill,Hill,E Mitchell County between Buchanan Hollow and Cane Creek.
NCG10173,Mineral Springs,Spring,"located approx. 4 mi. E of Hookerton on Contentnea Creek in E Greene County on the Jim Smith plantation. A high ridge rises on the S side of the creek. The springs, on the slope of the hill, formerly were quite popular as a source of supposedly healthful waters. Several acres of adjacent lowlands are covered with laurel."
NCG10222,Mitchell Lick,Geological formation,on Cherokee-Graham county line approx. ½ mi. from the North Carolina-Tennessee state line on the headwaters of Snowbird Creek. It is a site at which early settlers salted stock and to which wild animals also came for salt.
NCG10291,Montgomery Corner,Point of interest,"a point on the North  Carolina-Georgia state line at the SE end of Sharptop Ridge, SE Clay County due S of 30 Mile Post, which see. From the point, the state line runs W to the junction of the North Carolina-Georgia-Tennessee state lines."
NCG10293,Montgomery Slough,Waterway,a tidal waterway in SE Brunswick County located just inside Long Beach and extending 2½ mi. W to Eastern Channel.
NCG10307,Moody Stamp,Mountain feature,NE Cherokee County in the Snowbird Mountains.
NCG10339,Moratuc,Native American settlement,"village of the Moratuc Indian tribe on the Roanoke River near the present junction of Bertie, Martin, and Washington Counties. Appears on the White map, 1585; the Velasco map, 1611; and the Smith map, 1624. See also Roanoke River."
NCG10353,Morgan District,District,"at the time of the 1790 census, was composed of Burke, Lincoln, Rutherford, and Wilkes Counties."
NCG10357,Morgan Mills Ford,Transportation,"N Union County on Rocky River. Site of a large gristmill dating from the middle of the nineteenth century. The building and machinery still stand, but the mill no longer operates."
NCG10500,"Mountain Region, Mountain Section",Region,"or simply terms applied to the mountainous section of W North Carolina. The E limit of the region runs generally through Surry, Wilkes, Caldwell, Burke, Rutherford, and Polk Counties. The Indians referred to the area as Ottaray (Highlands). White settlers sometimes rendered the word into English as Otaré, which they translated as ""Over Hills."" See also Appalachian Mountains."
NCG10511,Mouse Harbor,Bay,"bay on the E side of Goose Creek Island, NE Pamlico County in the waters of Pamlico Sound. The shape of the bay on a map vaguely suggests the shape of a mouse."
NCG10533,Muddy Slue,Depression,"a slough in the tidal-marsh islands in the Cape Fear River opposite Southport, SE Brunswick County."
NCG10562,Murfree's Ferry or Murfree's Landing,Transportation,or See Murfreesboro.
NCG10597,Myrtle Lawn,Estate,a family seat in S Warren County near the community of Inez. Built by the Williams family in 1790 and still standing.
NCG10602,Nags Head Coast Guard Station,Coast Guard station,central Bodie Island in E Dare County. Est. in 1874 as a lifesaving station. Lifesaving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915. The station was declared surplus and decommissioned after World War II.
NCG10604,Nags Head Woods,Forest,"maritime forest, E Dare County. An ecological preserve that includes 1,400 acres. Protected by Nature Conservancy and designated a U.S. Natural Landmark, 1974."
NCG10624,Nansemond Indian Town,Native American settlement,"appears on the Moseley map, 1733, near the forks of Nottoway River and Blackwater River where they form the Chowan River. The site is now in NE Hertford County."
NCG10626,Nantahala Balds,Area,"grassy areas in the Nantahala Mountain Range, which see, of W Macon County. Wayah Bald is the most prominent of these areas. Named for the Cherokee word Nan-toh-ee-yah-heh-lih (sun in the middle; noonday), as Indian runners between Valley River crossed it at midday on their way to Oconaluftee or Soco in Swain County."
NCG10627,Nantahala Gorge,Geological formation,"ne Graham and SW Swain Counties, a canyon of the Nantahala River with such depth and such sheer sides that the Cherokee Indians named it ""Land of the Middle Sun,"" believing that only the noonday sun could penetrate its depths. One of the several Cherokee legends is that the gorge was the haunt of the Uktena (keen-eyed), a huge horned serpent. The bright gem blazing from between its horns was called ulstitlu (it is on his head) and meant death to the family of any Indian who beheld it. However, when detached it became the ulunsuti (transparent), the great talisman that revealed the future to the possessor. When a wary hunter encased himself in leather, surprised the monster, killed it, and tore the great jewel from its head, the snake writhed from one side of the gorge to the other, shutting out the radiance of the sun and causing the perpetual twilight. The great jewel was said to be the rutile quartz, so rare that there was only one specimen among the Eastern Cherokee in 1890. In the gorge, on the left bank of the river, are caves claimed by some to have been occupied by a race that preceded the Cherokee."
NCG10629,Nantahala Mountain Range,Mountain feature,"lies between the Great Smoky Mountains on the N and the Blue Ridge on the s. It extends about 50 mi. across Macon County from the junction of Nantahala and Little Tennessee Rivers in Swain County to Tallulah Falls, Ga."
NCG10638,Narrows,Waterway,"boat channel through the narrow part of Currituck Sound near Poplar Branch. Tidal-marsh islands lie on either side of the channel in S Currituck County. Appears on the Comberford map, 1657."
NCG10639,Narrows of the Yadkin,Freshwater area,"formerly a portion of Yadkin River in Montgomery and Stanly Counties constricted by the Uwharrie Mountains, through which the river passes. With the construction of Badin Dam in 1917, the Narrows of the Yadkin were submerged by Badin Lake. Appears on the Price map, 1808, and the MacRae map, 1833. Sometimes referred to as Yadkin Narrows."
NCG10644,Nash District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 118 heads of families.
NCG10653,Nausegoc,Area,"a name appearing on the White map, 1590, in Pamlico Sound, E Dare County approx. between the present communities of Rodanthe and Salvo on Hatteras Island. The name is believed to have been an Algonquian Indian word for ""take a breathing-spell,"" hence a resting place for those on a long canoe journey."
NCG10682,Negro Hammocks,Island,"formerly two islands in S Hyde County in Pamlico Sound NE of Ocracoke Island, but now submerged. Known by the name as early as 1795. One of the islands was above water as late as 1910 and was called Negro Island."
NCG10710,Nettle Patch,Mountain feature,"mountain near the Blue Ridge Parkway on the McDowell-Mitchell-Yancey county line. Alt. approx. 3,950."
NCG10730,New Bethel Crossroads,Area,in W Rockingham County. Area renamed Bethany.
NCG10755,New Lands,Area,"E Washington County, area at the NE boundary of East Dismal Swamp, which see. Name appears in county records as early as 1868."
NCG10777,Newbern District,District,"at the time of the 1790 census, was composed of Beaufort, Carteret, Craven, Dobbs, Hyde, Johnston, Jones, Pitt, and Wayne Counties."
NCG10796,Newport,Proposal,chartered 1789 to be county seat of Tyrrell County. On SW side of Scuppernong River at Back Landing. The town was never built.
NCG10821,Nick Bottom,Area,loamy section in E Swain County on Oconaluftee River near the mouth of Goose Creek.
NCG10860,No Grease,Business or business district,"riverside site in E central Hertford County on Chowan River approx. Â¼ mi. N of Winton. A fishery there in the nineteenth century departed from custom when it kept no grease on hand, which meant that customers could not cook fish at the site."
NCG10874,Noland Divide,Mountain feature,"mountain ridge, central Swain County in Great Smoky Mountains National Park, extending from the Tennessee state line S to Bryson City. Roundtop Knob, which see, a peak on the ridge, has an elevation of 5,120 ft."
NCG10905,North Carolina,Reference,Please see the full entry.
NCG10981,North River Thorofare,Waterway,between two groups of tidal-marsh islands in S Carteret County.
NCG10982,North Rock,Island,"island in Pamlico Sound, NE Carteret County N of Portsmouth Island. In 1795 the middle section of the island was submerged; the W end was called Great Shell Rock and the E end Little Shell Rock."
NCG11009,Northwest Ditch,Depression,drains water from NW Camden County (Dismal Swamp) to the SE into Cross Canal.
NCG11141,"Old Bear, The",Elevation,point of land off E Pamlico County extending into Jones Bay.
NCG11149,Old Field,Area,"an area in what is now Beaufort County between Pungo and Pamlico Rivers; shown on the Ogilby map, 1671."
NCG11181,Old Sneedsborough,Populated place,"abandoned town in SE Anson County on Pee Dee River. Laid out in 1795 to be at the head of navigation on the Pee Dee River and named for Honora Sneyd, stepmother of Richard Lovell Edgeworth, founder of the town. Navigation was not developed sufficiently, and the town declined after about 30 years. Post office est. about 1803; closed 1883. Sneedsborough was famous for its inn. John J. McRae, governor of Mississippi (1854-58) and a member of U.S. and Confederate Congresses, was born there. See also McFarlan."
NCG11182,"Old Sow, The",Island,"tidal-marsh island in Pamlico Sound off the SE tip of Goose Creek Island, NE Pamlico Sound."
NCG11213,Oliver Reef,Seawater area,S Dare and E Hyde Counties in the waters of Pamlico Sound N of Hatteras Inlet. Presented by the state to the U.S. government in 1874 for use in naval target practice. Returned to the state in 1965.
NCG11239,Open Land,Area,"or a shrub bog area of approx. 50,000 acres in Carteret County about 12 mi. NE of Beaufort. An attempt to reclaim the area in 1926 was abandoned, but much of it is now included in a large experimental farm."
NCG11241,"Opening, The",Area,a clay and swamp area in E Pitt County between the head of Clayroot Swamp and Chicod Creek.
NCG11244,Oporauck,Unknown,"an otherwise unidentified designation appearing on the Comberford map, 1657, shown parallel with what is now Scuppernong River in Washington and Tyrrell Counties."
NCG11264,Oregon Inlet Coast Guard Station,Coast Guard station,E Dare County on Pea Island near Oregon Inlet. First est. as Bodie's Island Lifesaving Station in 1874; name later changed. The Life-saving Service and Revenue Cutter Service joined in 1915 to form U.S. Coast Guard.
NCG11282,Orton Plantation,Estate,"E central Brunswick County overlooking Cape Fear River. House, built about 1725 by Roger Moore and later the home of Governor Benjamin Smith, is now a tourist attraction with extensive azalea gardens. The old town of Brunswick, which see, was nearby."
NCG11292,Osburn Ford,Transportation,shallows in Pigeon River just NE of the town of Clyde in central Haywood County.
NCG11317,Outer Banks,Region,"are a string of low, narrow, sandy islands extending for more than 175 mi. from the Virginia state line to below Cape Lookout. They are separated from the mainland of North Carolina by broad, shallow sounds. Narrow inlets through the Outer Banks provide access to the Atlantic Ocean from the sounds. The Outer Banks, from N to s, are Currituck Banks, Bodie Island, Pea Island, Hatteras Island, Ocracoke Island, Portsmouth Island, Core Banks, Shackleford Banks, and Bogue Banks. In 1709 John Lawson wrote of the ""Sand Banks."" In 1713 the term ""Sea Banks"" was used in describing them (see Shackleford Banks). See also Carolarns Islands; Croatoan Island."
NCG11331,Owen Hill Landing,Transportation,"NW Bladen County on Cape Fear River at the site of Owen Hill plantation, home and birthplace of Governor John Owen (1787-1841), only N.C. governor from Bladen County. Foundation and basement of original house are still there on a bluff above the landing."
NCG11354,Oxford District,District,"a section of Granville County, perhaps in the central part of the county in which Samuel Benton's plantation, ""Oxford,"" was located. In 1790 there were 65 heads of families in the district."
NCG11369,Pacolet Fall,Freshwater area,on Pacolet River in SE Henderson County.
NCG11395,Paint Hill,Hill,"SE Moore County. Indians made red paint from stones found at the site, hence the name. Alt. 640."
NCG11422,Pamptecough Precinct,Precinct,"was created in Bath County on December 3, 1705. It took its name from Pamptecough (Pamlico) River. The name was changed to Beaufort County, which see, about 1712. The town of Bath was the county seat from its inc. in 1705 until 1785, when Washington became the county seat."
NCG11451,Paquiac,Area,"name given by John White on his maps of 1585 and 1590 to the section of Hatteras Island S of Cape Kenrick and extending almost to modern Cape Hatteras, SE Dare County. The section lay between present Chicamacomico Banks and Kinnakeet Banks. The name Paquiac is an Algonquian Indian term for ""it is shallow,"" describing the adjacent Pamlico Sound."
NCG11462,Park Springs,Body of water,"lake on Moon Creek in W Caswell County. Formerly a health resort and mineral spring. Lake, covering 8 acres and owned by the Danville, Va., Kiwanis Club, long used for fishing and swimming."
NCG11535,Patton,Populated place,"mining town in SE McDowell County near Dysartsville. Named for Patton family, local landowners."
NCG11542,Paul Gamiels Hill,Hill,N end of Bodie Island in E Dare County. Site of lifesaving station est. in 1878-79. Lifesaving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915. Active until after World War II.
