ID,Label,Feature type,Meta-Category,Description
NCG08027,Judith Island,Peninsula,Landform,peninsula on Bell Island in S Hyde County. See also Abigails Islands.
NCG08030,Judson Lake,Lake,Water,"S Transylvania County, drains N into Little River. Covers 8 acres and has a max. depth of 20 ft."
NCG08043,Jump Cove,Cove,Water,N Buncombe County E of Iron Ore Ridge.
NCG08053,Jumping Swamp,Swamp,Wetlands,rises in S Columbus County and flows NE and E into Grissett Swamp.
NCG08065,Juniper Bay,Bay,Water,"S Hyde County in Pamlico Sound E of Marsh Island. Appears as New Mattamuskeet Creek on the Moseley map, 1733. See also Cecils Harbor."
NCG08070,Juniper Swamp,Swamp,Wetlands,rises in W Beaufort County and flows W to join Harding Swamp in forming East Branch Chicod Creek.
NCG08071,Juniper Swamp,Swamp,Wetlands,"rises in SW Onslow County and flows NW into Pender County, where it enters Shaking Creek."
NCG08084,Kaiser Lake,Lake,Water,S Transylvania County at the head of Morgan Mill Creek. Covers 2 acres and has a max. depth of 20 ft.
NCG08091,Kanuga Lake,Lake,Water,"central Henderson County on Little Mud Creek. Formed about 1908. Covers 12 acres; max. depth 20 ft. Summer camp owned by the Episcopal Church. Named for prehistoric Cherokee town Ka-nu-ga, on the West Fork of Pigeon River in Haywood County. The Indian name traditionally meant ""Meeting Place of Many Peoples."""
NCG08120,Keg Island,Island,Landform,"in the Cape Fear River, W New Hanover County SE of Campbell Island."
NCG08123,Kehukee Swamp,Swamp,Wetlands,"rises in E Halifax County and flows SW into Roanoke River. Appears as Kehukee Creek on the Collet map, 1770."
NCG08125,Keiths Bay,Bay,Water,sand-filled bay in S Sampson County on the head of Keiths Swamp. See also Carolina Bays.
NCG08126,Keiths Swamp,Swamp,Wetlands,rises in S Sampson County and flows SE into Black River.
NCG08133,Kelly Cove,Cove,Water,N Macon County on a tributary of Burningtown Creek.
NCG08138,Kellys Pond,Pond,Water,on Southwest Creek in E Lenoir County. Formed in or prior to 1738 by a man named Marshall. Covers 312 acres; max. depth 10 ft.
NCG08147,Kenan Pocosin,Pocosin,Wetlands,a large swamp in S Duplin County that is drained by ditches into Northeast Cape Fear River.
NCG08179,Kerr Lake,Lake,Water,"was formed in 1952 with the completion of John H. Kerr Dam on Roanoke River in Virginia. Reservoir also fed by Dan River, Nutbush Creek, Island Creek, and many smaller tributaries, it extends into central Vance County, N Granville County, and NW Warren County. Normally it covers 48,900 acres and is 39 mi. long, with a shoreline of 800 mi. Max. depth 99 ft. Used for hydroelectric power generation, flood control, municipal water supply, irrigation, and recreation. Named for Congressman John H. Kerr (1873-1958). Initially known as Buggs Island Lake for an island in Roanoke River below the dam. The section of the reservoir extending into Vance County on Nutbush Creek is sometimes known as Townsville Lake. The official name is John H. Kerr Reservoir."
NCG08194,Kilby Cove,Cove,Water,S Cherokee County. An unnamed stream flowing through the cove forms the headwaters of the E fork of Cook Creek.
NCG08205,Kill Swamp,Swamp,Wetlands,rises in N Sampson County and flows SW into Great Coharie Creek.
NCG08206,Kill'em Swamp,Swamp,Wetlands,rises in SE Hertford County and flows NW into Chinkapin Creek.
NCG08218,Kimsey Cove,Cove,Water,W Macon County at the head of Gibby Branch.
NCG08238,Kings Island,Island,Landform,"S Dare County in the waters of Pamlico Sound off Brooks Point, Hatteras Island."
NCG08242,Kings Point,Peninsula,Landform,peninsula extending from the mainland of NE Carteret County into Brett Bay.
NCG08276,Kit Swamp,Swamp,Wetlands,rises in N Craven County and flows SW into Little Swift Creek.
NCG08288,Kitty Hawk Bay,Bay,Water,"NE Dare County at the E end of Albemarle Sound, which see. Bounded on the N by the S extremity of North Banks and on the S by Colington Island."
NCG08304,Knotts Island,Island,Landform,"a peninsula in N Currituck County approx. 5 by 3Â½ mi.; extends into North Carolina from Princess Anne County, Va. Knotts Island Channel on the E connects Currituck Sound with Back Bay (in Virginia); North Landing River on the W rises in Virginia and flows past Knott Island into Currituck Sound. Appears as Knot Isle on the Comberford map, 1657. Probably named for James Knott or a member of his family. Knott held land in S Virginia as early as 1642. See also Mackay Island."
NCG08314,Koonces Bay,Bay,Water,"on White Oak River, SW Carteret County between Wire Point and Balls Point. Named for the Koonce family."
NCG08341,Lake Adger,Lake,Water,"in N central Polk County on Green River. Built by Blue Ridge Power Company in 1925 and known as Turners Lake for nearby Turners Shoals. Duke Power Company bought the hydroelectric plant and water rights in 1927 and later renamed the lake, likely for John B. Adger, who was active in power development on Broad River in South Carolina. Covers 438 acres, with a max. depth of 86 ft. Used to generate hydroelectric power."
NCG08342,Lake Ashnoca,Lake,Water,"central Buncombe County on Ragsdale Creek. The property of the Asheville School, it covers 27 acres."
NCG08344,Lake Benson,Lake,Water,"in S Wake County on Swift Creek. Formed in 1925 and named Rands Mill Pond for owners. Later renamed for B. B. Benson, former Raleigh city councilman. Covers 490 acres and has max. depth of 19 ft. Enlarged in 1951. Used as reservoir and for fishing."
NCG08345,Lake Brandt,Lake,Water,an artificial lake in central Guilford County on Reedy Fork Creek. Max. depth 25 ft. Covers 400 acres. Formed in 1920 and named for former Greensboro mayor Leon J. Brandt (1874-1920). Municipal water supply for Greensboro and owned by the city.
NCG08346,Lake Burlington,Lake,Water,"central Alamance County on Stony Creek. Formed 1910; enlarged 1961. Source of water for the city of Burlington. Covers 750 acres; 7Ã‚Â½ mi. long, with a 50 mi. shoreline. Fishing, boating. Known earlier as Stony Creek Lake."
NCG08347,Lake Charles,Lake,Water,"on Grassy Creek, SE Buncombe County."
NCG08348,Lake Cheoah,Lake,Water,"NW Graham and SW Swain Counties. Formed 1928 by Aluminum Company of America in damming Little Tennessee River. Covers 648 acres; max. depth 200 ft. Used for power, swimming, and boating. Alt. 1,276."
NCG08351,Lake Craig,Lake,Water,"on Swannanoa River in central Buncombe County near the E boundary of Asheville. The Asheville Recreation Park is located near the dam. Named for Governor Locke Craig (1860-1925), whose home was nearby. The lake covers approx. 55 acres. Was a source of water for the city of Asheville prior to about 1903."
NCG08354,Lake Devin,Lake,Water,"central Granville County on Hatcher's Run, was formed in 1954 as a source of water for the town of Oxford. Covers 100 acres; max. depth 40 ft. Named for former chief justice of the North Carolina Supreme Court, W. A. Devin, a resident of Oxford."
NCG08355,Lake Drain,Lake,Water,flows E from Singletary Lake in E Bladen County into Colly Creek.
NCG08356,Lake Eden,Lake,Water,"on a tributary of North Fork [Swannanoa River], E Buncombe County at the former site of Black Mountain College."
NCG08357,Lake Emory,Lake,Water,on Little Tennessee River in central Macon County. Covers 200 acres; max. depth 20 ft. Formed 1925. Used by Nantahala Power & Light Company to generate electricity.
NCG08358,Lake Fisher,Lake,Water,"NE Cabarrus County. Formed in 1946 by a dam on Cold Water Creek. Covers 277 acres; max. depth 30 ft. Named for L. A. Fisher, superintendent of Concord water and power department. Used for fishing and as a source of water for the city of Concord."
NCG08359,Lake Franklin,Lake,Water,E Anson County SE of Lilesville. Covers approx. 5 acres; max. depth 25 ft. Formed in 1908 when gravel was removed from the site. Named for the owner of the property from which the gravel was dug.
NCG08360,Lake Gaston,Lake,Water,"was formed on Roanoke River about 8 mi. upstream from the city of Roanoke Rapids and extends along the Halifax-Northampton county line NW into NE Warren County and into Virginia. Gaston Dam, 3,600 ft. wide and 105 ft. high, was completed in 1963 by Virginia Electric and Power Company and lies on the upstream end of the Roanoke Rapids Lake. Lake Gaston is 34 mi. long, with max. width of 1.3 mi. Covers 20,300 acres, with a shoreline of 350 mi. and a max. depth of 97 ft. Used for generation of hydroelectric power and recreation."
NCG08361,Lake Gresham,Lake,Water,in N central Wake County on Perry Creek. Formed in 1939. Covers 100 acres and has max. depth of 30 ft. Used for recreation.
NCG08362,Lake Hickory,Lake,Water,"on Catawba River, within Alexander and Caldwell Counties on the N and Burke and Catawba Counties on the s. Formed by a dam constructed in 1928 by Duke Power Co. Covers 4,110 acres. Source of hydroelectric power; fishing, boating, and swimming. Dam at the site of former Oxford Ford across the river; named for Samuel Oxford, pioneer settler who opened the ford. Alt. 829. Lake formerly known as Oxford Lake or Oxford Reservoir."
NCG08363,Lake Hunt,Lake,Water,"S Rockingham County. Built on N fork of Piney Creek in 1956. Covers approx. 175 acres. Named for George Hunt, mayor of Reidsville."
NCG08364,Lake James,Lake,Water,"on Catawba River, Burke and McDowell Counties. Formed when Bridgewater Dam was built, 1916-23, and formerly called Bridgewater Reservoir. Fed by North Fork [Catawba River], Linville River, and numerous smaller tributaries in addition to Catawba River. Owned by Duke Power Co. and named for James B. Duke (1856-1925). Covers 6,510 acres, with a shoreline of 150 mi. Used for recreation and generation of hydroelectric power."
NCG08365,Lake Johnson,Lake,Water,"in S central Wake County on Walnut Creek. Covers 160 acres and has max. depth of 18 ft. Owned by city of Raleigh. Used for fishing, boating, and municipal water supply."
NCG08368,Lake Kawana,Lake,Water,"SE Avery County on Linville River. Two acres in area; max. depth 10 ft. Owned by Linville Resort and used for fishing, boating, swimming, and, sometimes in the winter, ice skating. Also known as Linville Lake."
NCG08369,Lake Kelly,Lake,Water,water-supply reservoir in SE Henderson County for town of Saluda. Located at the head of Kelly Creek.
NCG08370,Lake Kenilworth,Lake,Water,central Buncombe County in the city of Asheville. Approx. Â½ mi. long.
NCG08373,Lake Lanier,Lake,Water,"in S Polk County, N.C., and NE Greenville County, S.C. Formed about 1916-18. Covers 127 acres, with a max. depth of 70 ft. Named for poet Sidney Lanier (1842-81), who spent his last years in Polk County. Water source for town of Tryon. Used for recreation and for commercial purposes."
NCG08375,Lake Logan,Lake,Water,"S Haywood County on West Fork Pigeon River. Approx. 1Â½ mi. long and Â¼ mi. wide. A water reservoir for Champion Paper and Fiber Company in Canton. Alt. 2,909."
NCG08376,Lake Louise,Lake,Water,"N Buncombe County in the town of Weaverville. Covers 6 acres; max. depth 50 ft. Fed by 5 underwater springs. Built before 1907 by Charles R. Moore and named Lake Juanita for Juanita Peace, a young girl who lived in the Moore home. At Moore's death, the property was given to Weaver College and later to the town of Weaverville, when the name was changed to Lake Louise in honor of Louise Moore, the donor."
NCG08378,Lake Mattamuskeet,Lake,Water,"central Hyde County, a natural lake covering approx. 30,000 acres. Alt. 3 ft. below sea level. Max. depth 5 ft. Discovered 1585 by Richard Grenville's exploring party. Appears as Paquippe on the White map, 1585, for an Indian word meaning shallow (or dry) lake; as Paquike Lake on the Comberford map, 1657; and as Mattamuskeet Lake on the Moseley map, 1733. Present name from an Indian word Mata-mackya-t-wi (it is a moving swamp; quaky bog). As early as 1789 efforts were made to drain the lake for farming purposes, and the most recent efforts at drainage came to an end in 1934. Now a federal wildlife refuge. See also Aramuskeet; Aromuskek Marshes; New Holland."
NCG08379,Lake Michael,Lake,Water,"W Orange County. Formed in 1953 as a municipal water supply for the town of Mebane. Covers 51 acres; max. depth 20 ft. Named for Arthur Michael, engineer for the town of Mebane at the time the lake was formed."
NCG08380,Lake Michie (mick-e),Lake,Water,"reservoir for the city of Durham. About 4 mi. long on Flat River, NE Durham County."
NCG08381,Lake Mirl,Lake,Water,"E central Wake County on Hodges Creek. Formed in 1940. Covers 5 acres, with a max. depth of 10 ft. Open to the public for recreation."
NCG08382,Lake Monroe,Lake,Water,"central Union County S of Monroe. It is at the junction of Richardson and Little Richardson Creeks. Formed in 1925 and known first as Lake Lee for the owners. Later acquired by city of Monroe as a municipal water source. Covers 144 acres, with a max. depth of 35 ft."
NCG08383,Lake Norman,Lake,Water,"on the Catawba River in Catawba, Iredell, Mecklenburg, and Lincoln Counties. Formed by the dam at Cowan's Ford, completed 1963. Covers 32,510 acres. Shoreline approx. 520 mi. Hydroelectric plant of Duke Power Co. Named for Norman A. Cocke, retired president of the company. Alt. 760. See Duke Power Park."
NCG08384,Lake Palcoy,Lake,Water,in central Haywood County near Lake Junaluska.
NCG08386,Lake Phelps,Lake,Water,"natural freshwater lake in E Washington County and W Tyrrell County, the bed of which is thought to have been formed by the impact of a meteor. The lake surface covers 16,600 acres, with a max. depth of 12 ft.; mean alt. 10 ft. Owned by the state of North Carolina and included in Pettigrew State Park, which see. Said to have been named for Josiah Phelps, one of a group of explorers who discovered it in 1775. Known for a while as Scuppernong Lake and appears as such on the Collet map, 1770. Used for fishing, swimming, and boating."
NCG08387,Lake Point,Point,Landform,"point of land on the SW tip of Durant Island, central Dare County."
NCG08388,Lake Raleigh,Lake,Water,in central Wake County on Walnut Creek. Formed in 1900. Covers 72 acres and has max. depth of 25 ft. Used for municipal water supply.
NCG08389,Lake Reidsville,Lake,Water,"in Rockingham County on Troublesome Creek. Built in 1972 to serve as part of Reidsville's water supply and for recreational activities such as fishing, waterskiing, and camping. Covers 750 acres."
NCG08393,Lake Sapphire,Lake,Water,"central Transylvania County on Allison Creek approx. 1Â½ mi. N of town of Brevard. Covers 3 acres, with a max. depth of 30 ft. Used for recreation. See also Sapphire Lake."
NCG08395,Lake Sequoyah,Lake,Water,"SE Macon County at the head of Cullasaja River. Formed about 1920. Covers approx. 150 acres, with a max. depth of 40 ft. Owned by the town of Highlands and used as a source of power and for swimming, fishing, boating, and skating. Named for Sequoyah (1770?-1843), Indian teacher."
NCG08396,Lake Summit,Lake,Water,"S Henderson County on Green River. Formed in 1920 as a source of power. Covers 350 acres, with a max. depth of 100 ft. A textile mill formerly operated there, and summer homes stand along the shores of the lake."
NCG08397,Lake Susan,Lake,Water,NE Buncombe County. Formed by a dam on Flat Creek in Montreat.
NCG08398,Lake Tabor,Lake,Water,"S Columbus County. Formed by a dam on Grissett Swamp. Covers 8 acres, with a max. depth of 15 ft. Known as Spiveys Pond in the early twentieth century, when it was used to provide waterpower to operate a gristmill. The dam broke in 1950. The site was purchased by Tabor City, the dam was rebuilt, and the name was changed in 1955."
NCG08399,Lake Tahoma,Lake,Water,"W McDowell County on Buck Creek and Little Buck Creek. Formed about 1927 by J. Q. Gilkey of Marion. The name, an Indian word believed to mean ""mountain lake of the gods,"" was suggested by Mary Hudgins of Marion. Covers approx. 500 acres; max. depth 30 to 40 ft. Owned by Lake Tahoma, Inc., a landholding corporation."
NCG08400,Lake Thorpe,Lake,Water,"an irregular-shaped reservoir in W Jackson County formed in 1941 by a dam on the West Fork of Tuckasegee River. Originally known as Glenville Lake for the nearby community; renamed in 1951 for J. E. S. Thorpe, former president of Nantahala Power and Light Company. Also known for a time as Thorpe Reservoir. Covers 1,462 acres, with a max. depth of 135 ft. Used to generate hydroelectric power and for recreation. Alt. 3,492."
NCG08401,Lake Tillery,Lake,Water,"on Pee Dee River in Montgomery and Stanly Counties. Formed in 1928. Covers 5,260 acres, with a shoreline of 104 mi. and a max. depth of 89 ft. Owned by Progress Energy and used for generating hydroelectric power, boating, swimming, and fishing. Originally named Norwood Lake for nearby town of Norwood. Renamed for former president of the company, Paul A. Tillery (1880-1933)."
NCG08402,Lake Tomahawk,Lake,Water,SE Buncombe County on Tomahawk Branch.
NCG08404,Lake Trojan,Lake,Water,"S central Wake County on a tributary of Swift Creek. Formed about 1900 and called Yates Mill Pond for the owner of the mill. Name changed in the 1950s. Covers 20 acres, with a max. depth of 15 ft. Used as a source of power and for fishing and swimming. Mill open to the public."
NCG08405,Lake View,Pond,Water,pond on Flatrock Creek in N Franklin County. Formed 1890. Known as Hunts Pond until 1931. Covers 10 acres; max. depth 12 ft.
NCG08407,Lake Wheeler,Lake,Water,"S Wake County on Swift Creek. Formed in 1957. Covers 540 acres, with a max. depth of 30 ft. Named for Fred B. Wheeler, former mayor of Raleigh. Used as a recreation area and as a source of water for the city of Raleigh."
NCG08408,Lake William,Lake,Water,on Little Rockfish Creek due W of city of Fayetteville in W Cumberland County near county line. Approx. Â¾ mi. long.
NCG08410,Lake Wood,Lake,Water,"lake approx. 1 mi. long on Cross Creek, NW Cumberland County. Covers approx. 20 acres; max. depth 20 ft. Fishing and swimming."
NCG08412,Lake Wylie,Lake,Water,"on the Catawba River in Gaston and Mecklenburg Counties, is formed by a dam constructed in South Carolina, 1924-26. Most of the lake, which covers 12,455 acres with a shoreline of 325 mi., is in South Carolina. Known as Catawba Lake until 1960, when it was renamed Lake Wylie for Dr. Walker Gill Wylie (1848-1923), friend and associate of James B. Duke. Site of Duke Power hydroelectric plant."
NCG08415,Lakes Pocosin,Pocosin,Wetlands,"a mucky slough in the SW corner of Craven County and extending into NW Carteret and E Jones Counties. Ellis Lake, Great Lake, Little Lake, and Long Lake in Craven County, and Catfish Lake in Jones and Craven Counties, are located in the pocosin."
NCG08430,Lambert Cove,Cove,Water,W Macon County on a tributary of Nantahala River.
NCG08432,Lambert Point,Peninsula,Landform,peninsula extending from N Pamlico County into Bay River.
NCG08439,Lamms Mill Pond,Pond,Water,on Moccasin Creek on the Johnston-Nash county line. Approx. Â½ mi. long. A mill operated there until about 1930.
NCG08456,Lane Swamp,Swamp,Wetlands,rises in NE Nash County and flows SE into Swift Creek.
NCG08471,Lanier Swamp,Swamp,Wetlands,rises in E Martin County and flows NW into Gardners Creek.
NCG08488,Lassiter Mill Lake,Lake,Water,artificial lake in SW Forsyth County on Blanket Creek. Formed in 1935. Built for a mill dam by Lassiter family. Covers 50 acres and has max. depth of 20 ft. Not open to the public.
NCG08492,Lassiters Mill Pond,Pond,Water,on Crabtree Creek in central Wake County within NW city limits of Raleigh. Present dam built in 1907-1908 by Mary Lassiter; pond named for her. A mill built on the site in 1778 by Isaac Hunter burned about 1823.
NCG08501,Laughter Cove,Valley,Landform,SE Buncombe County between Spring and Garren Mountains. Named for a family of notorious moonshiners who lived in the cove in the first half of the twentieth century.
NCG08502,Laughton Point,Point,Landform,extends from the mainland of central Carteret County into Newport River.
NCG08525,Laurel Lake,Lake,Water,SE Buncombe County near Black Mountain.
NCG08529,Laurel Point,Point,Landform,extends from W Dare County N of Mill Tail Creek into Alligator River.
NCG08530,Laurel Point,Point,Landform,extends from NE Washington County into Albemarle Sound.
NCG08579,Leatherwood Cove,Cove,Water,central Haywood County just N of Lake Junaluska.
NCG08587,Ledbetter Lake,Lake,Water,"central Richmond County on Hitchcock Creek at the community of Ledbetter, which see. Covers 800 acres."
NCG08601,Lee Swamp,Swamp,Wetlands,rises in SW Wilson County and flows SE in an arc into Black Creek. Named for local family.
NCG08609,Lees Millpond,Millpond,Water,E Scotland County on Big Shoeheel Creek. Covers 50 acres; max. depth 18 ft.
NCG08612,Lees Point,Point,Landform,extends from W Carteret County into White Oak River.
NCG08638,Legion Beach,Beach,Landform,"a recreation and picnic area on Albemarle Sound in N Tyrrell County 3 mi. E of Columbia. Owned by local American Legion Post. Boating, bathing, and fishing."
NCG08660,Lenox Point,Point,Landform,extends from the mainland of S Carteret County into North River Thorofare E of the limits of Beaufort. Also once known as Titus Point.
NCG08671,Leonards Point,Point,Landform,extends from N Washington County into Albemarle Sound.
NCG08688,Lewellyn Cove,Cove,Water,follows the course of a stream emptying into Little Tennessee River in N Graham County.
NCG08700,Lewis Point,Point,Landform,"N Tyrrell County, extends from the mainland into Albemarle Sound W of Peartree Point."
NCG08701,Lewis Swamp,Swamp,Wetlands,rises in E central Brunswick County and flows E to join Rattlesnake Branch in forming Town Creek.
NCG08742,Light Ground Pocosin,Pocosin,Wetlands,"a muck-filled area covering approx. 4 by 5 mi., W central Pamlico County."
NCG08774,Lincoln Hollow,Valley,Landform,valley in W Avery County between Teagues Ridge and Powdermill Creek.
NCG08787,Line Runner Lake,Lake,Water,in S Transylvania County on Gerren Creek. Covers 11 acres and has max. depth of 28 ft. Used for recreation.
NCG08790,Liner Cove,Cove,Water,central Haywood County near Jerry Knob.
NCG08794,Linn Cove,Valley,Landform,the valley through which Linn Cove Creek flows in central Buncombe County.
NCG08849,Little Beaverdam Swamp,Swamp,Wetlands,rises in W Sampson County and flows SW into South River.
NCG08867,Little Buckeye Cove,Cove,Water,SE Haywood County on the head of East Prong Pigeon River.
NCG08868,Little Buckle Swamp,Swamp,Wetlands,rises in SE Bladen County and flows SE into Buckle Swamp.
NCG08877,Little Cawcaw Swamp,Swamp,Wetlands,rises in SW Brunswick County and flows W into Cawcaw Swamp at E limit of Thomas Bay.
NCG08889,Little Cokey Swamp,Swamp,Wetlands,rises in W Edgecombe County and flows SE into Cokey Swamp.
NCG08904,Little Creek Point,Point,Landform,S Onslow County in New River.
NCG08915,Little Dismal Swamp,Swamp,Wetlands,"NW Johnston County, drains into Dismal Branch."
NCG08947,Little Green Swamp,Swamp,Wetlands,NE Brunswick County. Approx. 10 mi. square.
NCG08976,Little Jacob Swamp,Swamp,Wetlands,rises in central Robeson County and flows SE into Jacob Swamp.
NCG08987,Little Lake,Lake,Water,"natural lake in Croatan National Forest, S Craven County. Covers approx. 500 acres; max. depth 4 to 5 ft. One of several lakes in Lakes Pocosin."
NCG08999,Little Marsh Swamp,Swamp,Wetlands,"rises in S Hoke County and flows SE into Robeson County, where it enters Gallberry Swamp."
NCG09037,Little Porpoise Bay,Bay,Water,"in Pamlico Sound on the E side of Goose Creek Island, NE Pamlico County."
NCG09040,Little Raft Swamp,Swamp,Wetlands,rises in S Hoke County and flows SE into Raft Swamp in N Robeson County.
NCG09073,Little Sandy Run Swamp,Swamp,Wetlands,rises in W Onslow County and flows SE into Sandy Run Swamp.
NCG09087,Little Singletary Lake,Lake,Water,a natural lake in N Bladen County; approx. 1Â½ mi. long and Â¾ mi. wide. Fishing. See also Carolina Bays.
NCG09098,Little Swamp,Swamp,Wetlands,rises in S Nash County and flows SE into Toisnot Swamp.
NCG09130,Livermans Mill Pond,Pond,Water,"W Hertford County, 1Â½ mi. long, drains into Potecasi Creek."
NCG09142,Lloyd Cove,Cove,Water,S Macon County E of Green Cove on a tributary of Tessentee Creek.
NCG09151,Locketts Island,Island,Landform,"a clay loam island approx. 1 mi. long in Roanoke River, W Northampton County."
NCG09210,Long Bay,Bay,Water,NE Carteret County between Cedar Island and Piney Island S of West Bay.
NCG09211,Long Beach,Beach,Landform,"a section of outer beach in SE Brunswick County on the Atlantic Ocean W of Caswell Beach and E of Lockwoods Folly Inlet. Long Beach, a town there, was inc. 1955. A summer resort."
NCG09222,Long Cove,Cove,Water,N Swain County between Bearwallow Ridge and Long Cove Ridge.
NCG09232,Long Hollow,Valley,Landform,at the head of Left Fork [Cane Creek] in E Mitchell County.
NCG09235,Long Island,Island,Landform,high ground in E central Tyrrell County at the NE end of Hollow Ground Swamp.
NCG09238,Long Lake,Lake,Water,"natural lake in Croatan National Forest, S Craven County. Covers 1,100 acres; max. depth 4 to 5 ft. One of several lakes in Lakes Pocosin."
NCG09245,Long Neck Point,Peninsula,Landform,"peninsula extending from W Goose Creek Island into Goose Creek at the mouth of Upper Spring Creek, NE Pamlico County."
NCG09247,Long Point,Point,Landform,"a long, narrow point of land extending off a tidal-marsh island adjacent to Piney Island in the waters of Coinjock Bay, central Currituck County. The Intracoastal Waterway separates the small island from the parent island (Piney). Gas for lighthouses was produced there."
NCG09248,Long Point,Point,Landform,extends from the E mainland of Hyde County into Pamlico Sound.
NCG09254,Long Shoal Bay,Bay,Water,the mouth of Long Shoal River in S Dare County.
NCG09255,Long Shoal Point,Point,Landform,"NE Tyrrell County, extends from the mainland into the mouth of Alligator River near the mouth of Alligator Creek."
NCG09258,Long Shoals Mill Pond,Pond,Water,S Lincoln County on South Fork Catawba River. Formed 1901 to provide power for cotton mill. Covers 125 acres; max. depth 12 ft.
NCG09266,Longs Island,Island,Landform,"name applied on the Ogilby map, 1671, to the land now in NW New Hanover County between the Brunswick and Cape Fear Rivers N of Eagles Island. The peninsula was formerly an island when Fishing Creek flowed between the two rivers. See also Longs Delight."
NCG09279,Lookout Bight,Bay,Water,a bay in the waters of the Atlantic Ocean formed by the S end of Shackleford and Core Banks in SE Carteret County in connection with a stone breakwater started before World War I but never completed.
NCG09283,Lookout Point,Point,Landform,the S tip of Cedar Island extending into the waters of Core Sound in NE Carteret County.
NCG09284,Lookout Shoals Lake,Lake,Water,"on Catawba River, bounded by Iredell and Alexander Counties on the N and Catawba County on the s. Formed by a dam constructed in 1915 by Duke Power Co. Covers 1,270 acres. Source of hydroelectric power; fishing, boating, and camping. See also Island Ford."
NCG09287,Loosing Swamp,Swamp,Wetlands,"rises in N central Lenoir County and flows E for approx. 5 mi. into Stonyton Creek. The name appears in local records as early as 1744. It is believed to be derived from Lucerne, the Swiss city, and was given to the swamp by Swiss settlers who moved into the area from New Bern in the early eighteenth century. Also appears as Louson, Lousin, and Luzern."
NCG09307,Louse Island,Island,Landform,"NW Washington County in the mouth of Roanoke River. In a cluster of marshy islands, Louse Island is one of the smallest, approx. 2,000 ft. long and 200 ft. wide. It lies in the river between Rice Island and the mainland. See also Purchace Islands."
NCG09311,Louzanla Islands,Islands,Landform,"area of fine sandy loam surrounded by swamp in E Washington County, SW of the community of Scuppernong."
NCG09330,Loves Fish Lake,Lake,Water,"NE Surry County on Toms Creek. Covers 8 acres; max. depth 30 ft. Fishing. Named for J. B. Love, owner. Created 1949."
NCG09333,Lovett Island,Island,Landform,"a small island in SW Carteret County in Bogue Sound. Apparently named for the family whose surname appears in the old records as Lovett, Lovitt, and Lovick. Thomas Lovett or Lovick was an early landowner in the county."
NCG09341,Low Gap Hollow,Valley,Landform,S central Yancey County between Cane River and Bowlens Creek.
NCG09342,Low Gap Wildlife Pond,Pond,Water,NW Surry County on North Fork Mitchell River. Covers 12 acres; max. depth 26 ft. Formed 1954 and owned by Low Gap Wildlife Club. Fishing.
NCG09372,Lowery Cove,Valley,Landform,N Buncombe County NW of Thurz Mountain.
NCG09392,Lucks Island,Island,Landform,"appears on the Comberford map, 1657, as the present Currituck Banks, E Currituck County. It was mentioned as the N limits of Carolina in the charter granted in 1663 to the 8 Lords Proprietors. See also Currituck Banks; Croatamung."
NCG09403,Lumbershed Marsh,Island,Landform,"a tidal-marsh island in the W end of Bogue Sound, SE Onslow County, between Dudleys Island and Cedar Point. Named for a lumber shed built there during a lumber-industry boom."
NCG09411,Lupton Lake,Lake,Water,"in S Jackson County NE of Cashiers on Horsepasture River. Formed in 1924; covers 15 acres and has max. depth of 40 ft. Named for owner. Used for fishing, swimming, and boating and as a power source. Open to the public."
NCG09428,Lynch Cove,Cove,Water,SE Buncombe County E of Sheep Ridge.
NCG09439,Lynn Cove,Cove,Water,"SE Swain County, extends N from Shepherd Bald to Yalaka Creek."
NCG09445,Lyon Swamp,Swamp,Wetlands,SE Bladen County E of Cape Fear River.
NCG09451,Lytchs Millpond,Millpond,Water,S Scotland County on Gum Swamp Creek. Formed 1870. Covers 325 acres; max. depth 12 ft.
NCG09452,Lytle Cove,Valley,Landform,the valley through which Stepp Branch flows in SE Buncombe County.
NCG09463,Machelhe Island,Island,Landform,"marsh island about Â½ mi. long in the Pasquotank River, W Camden County opposite Elizabeth City. Probably named for the Macheel family, living in the area as early as 1723."
NCG09470,Mack Perry Pond,Pond,Water,"on Fowlers Creek, NE Wake County. Covers 38 acres; max. depth 20 ft. Used for fishing and irrigation."
NCG09472,Mackay Island,Island,Landform,"a portion of SW Knotts Island, NE Currituck County. It is separated from Knotts Island by Indian Creek and Back Creek, an inlet of North Landing River. Approx. 2 mi. long and 2 mi. wide. Appears as Notts or Mackys Island on the Collet map, 1770."
NCG09504,Maiden Point,Point,Landform,"extends into Jones Bay, NE Pamlico County. Named because the shoreline on maps resembles a female breast."
NCG09542,Mann Point,Point,Landform,"on the W shore of N Bodie Island in Roanoke Sound between Kill Devil Hills and Nags Head, E Dare County."
NCG09568,Maple Swamp,Swamp,Wetlands,rises in N Edgecombe County and flows SE into Fishing Creek.
NCG09599,Mark Pine Bay,Bay,Water,a muck-filled bay in central Columbus County.
NCG09604,Marks Pond,Pond,Water,"approx. Â½ mi. long, SE Harnett County on Buffalo Creek."
NCG09625,Marsh Bay,Bay,Water,a loam-filled bay in S Columbus County.
NCG09628,Marsh Island,Island,Landform,a peninsula extending from the S mainland of Hyde County into Pamlico Sound between Swanquarter Bay and Juniper Bay. See also Abigails Islands.
