id,label,alternate_label,wikidata_id,loc_id,worldcat_id,viaf_id,description,feature_type,county,coordinates,creator,contributor,source
,Hope Mills Mound Group,,,,,,"a Native American burial mound group said to be located ""situated about twelve miles from the town toward the southwest and about five miles southwest of Hope Mills in Cumberland county on the main line of the Atlantic Coast Line and also on the Aberdeen and Rockfish Railroad""and containing ""great quantities of human bones, some of them calcined.......fragments of projectile points and chips, and some yellow ochre """,nct:Burial Mound,Cumberland County,,Harvey Maynor,,"The Exploration of Mounds in North Carolina Author(s): Charles Peabody Source: American Anthropologist, New Series, Vol. 12, No. 3 (Jul. - Sep., 1910), pp. 425-433 Published by: Wiley on behalf of the American Anthropological Association Stable URL: https://www.jstor.org/stable/659899"
,Hopewell,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press."
,Hopewell Methodist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,House Of Christ Freewill Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hunt/William Berry Hunt Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hunt (Franklin) Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hunt Family Cemetery # 1,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hunt Family Cemetery # 2,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Hyco Creek ,,https://www.wikidata.org/wiki/Q104868571,,,,"stream in North Carolina, USA. Named for the Native American word Hicotaminy, meaning ""great turkey buzzard"".",nct:Creek,Caswell County|Person County,,Griffin Powell,,
NCG07537,Hyco Lake,,https://www.wikidata.org/wiki/Q7337053,,,,"a lake in North Carolina, United States of America. The name Hyco is derived from ""Hicotaminy"" which is what the native Indians of the region called the area due to the number of turkey buzzards which were and still are in the area. Hicotaminy means ""great turkey buzzard"".
",nct:Lake,Person County|Caswell County,,William Powell,Griffin Powell,https://en.wikipedia.org/wiki/Hyco_Lake
NCG07538,Hyco River,Hicootee River,https://www.wikidata.org/wiki/Q5953426,,,,"is formed in NW Person County by the junction of North Hyco and South Hyco Creeks. It flows NE into Virginia, where it enters Dan River. In 1728 William Byrd referred to the stream as ""Hicootomony, or Turkey-Buzzard River, from the great number of those unsavoury Birds that roost on the tall Trees growing near its banks."" Appears on the Moseley map, 1733, as Hyco-ote. Hyco Dam, completed in 1964, now impounds its waters to form Carolina Power Lake.",nct:River,Person County ,,William Powell,Griffin Powell,https://dc.lib.unc.edu/cdm/ref/collection/ncmaps/id/467
,Indian Creek,Horse Pasture Creek|Indian Swamp,,,,,"this is the name for a stretch of land, approximently 320 acres along the north side of the
Meherrin River adjacent to the Chowan Rive, referenced in a deed to William Maulein 1723. He purchased the land in the northern part of the Meherrin territory, which led to contention. This sparked the creation of the first NC reservation in 1729",nct:Creek,Bertie County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Indian Normal School of Robeson County,Croatan Normal School (formerly)|Cherokee Indian Normal School of Robeson County (later)|Pemboke State College for Indians (later)|Pembroke State College (later)|Pembroke State University (later)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history
,Indian Town,,,,,,an area on the Chowan river where the Meherrin settled prior to moving to the mouth of the Meherrin River. See Chowan River and/or Meherrin River,nct:NativeAmericanSettlement,Camden County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG07601,Indian Trail,,https://www.wikidata.org/wiki/Q2028087,http://id.loc.gov/authorities/names/n80059751,http://id.worldcat.org/fast/1208666,http://viaf.org/viaf/sourceID/LC%7Cn++80059751#skos:Concept,town in W Union County. Inc. 1907. Located between heads of North Fork Crooked Creek and South Fork Crooked Creek. Named for an Indian trail that was a trading route (likely fur) and went through the Caraway Mountains to reach the Hyco Plains region.,nct:Town,Union County,,William Powell,Madeline Miller,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Iona Indian Burial Ground,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Iotla,Ayaliyi|Ayoree|Jore|Joree|Ihore|Ihoree|Ioree|Iola,,,,,"historic Cherokee Middle town on Iotla Creek, N central Macon County. Destroyed by James Grant’s army in the Anglo-Cherokee War. Site is now present-day Macon County Airport.",nct:NativeAmericanSettlement,Macon County,"35.22187769652124, -83.41693222593658",Corinne Foster,,"Goodwin, Cherokees in Transition; Boulware, “The Effect of the Seven Years’ War on the Cherokee Nation""; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Iotla,,,,,,community in N central Macon County.,nct:Community,Macon County,,Corinne Foster,,
,Island Grove Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount|Harvey Maynor,,http://sites.rootsweb.com/~ncrobcem/
,Jack Hunt Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,James Mack Locklear Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG07880,Joara,,https://www.wikidata.org/wiki/Q3808596,,,,"large native settlement notable as a significant archaeological and historic site, where Mississippian culture-era and European artifacts have been found",nct:NativeAmericanSettlement|nct:HistoricalSite,North Carolina,,William Powell,Griffin Powell|Jonah Lewis,http://www.wikidata.org/entity/Q1454
,Joe Dial Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,John L. Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Johnnie Bullard Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,John Winston Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Jones Family Cemetery #1,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Jones Family Cemetery #2,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG08022,Judaculla Rock,ᏧᎳᎧᎳ ᏅᏯ,https://www.wikidata.org/wiki/Q6302064,,,,"central Jackson County 3½ mi. SE of East Laport on Caney Fork. Large rock covered with petroglyphs. According to Cherokee legend, the petroglyphs are the result of the giant Judaculla (Tsul'kalu) jumping down from Tanasee Bald. ",nct:Rock,Jackson County,"35.30124590259242, -83.11012320877943",William Powell,Corinne Foster,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Nikwasi Initiative"
,Kituwah,ᎩᏚᏩ|Ketoa|Kettooah|Keetoowah|Kituwa|Kitu’wha|Kituhwa|Kittowa|Kittoweh|Kittoa|Kottowa|Kautika|Kitara|Giduwa,https://www.wikidata.org/wiki/Q3194647 ,,,,"historic Cherokee Middle town on Tuckasegee River, E central Swain County. Considered to be one of the seven Cherokee “mother towns. Destroyed by James Grant’s army in the Anglo-Cherokee War.",nct:NativeAmericanSettlement,Swain County,"35.4333, -83.4333 ",Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Boulware, ""The Effect of the Seven Years' War on the Cherokee Nation""; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Kituwah Mound,,,,,,"Mississippian earthen platform mound on Tuckasegee River, E central Swain County. Townhouse site for historic Cherokee town of Kituwah. The Eastern Band of Cherokee Indians regained ownership of the mound and surrounding land in 1996. Due to centuries of plowing the mound is only a fraction of its original size.",nct:NativeAmericanSettlement,Swain County,"35.4333, -83.4333 ",Corinne Foster,,"Steere, “Revisiting Platform Mounds and Townhouses in the Cherokee Heartland"""
,Konehete,ᎦᏅᎯᏛ|Konahete|Konehette|Gunahita|Gu’nahitun’yi|Konehetee|Valleytown|Valley Town|Long Valley Place,,,,,"historic Cherokee Valley town on Valley River, NE Cherokee County. Its name translates to “long valley place,” which settlers turned into Valleytown. Site now present-day Andrews.",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Lake Junaluska,Tsuhnuhlahuhski|Gul'kalaski,https://www.wikidata.org/wiki/Q47468460,,,,"community in central Haywood County on the lake. Methodist assembly grounds and resort area. The assembly was inc. in 1909 and the community site selected soon afterward. Alt. 2,584. Named to honor Gul'kalaski. The Cherokee warrior who saved Andrew Jackson's life at the battle of Horseshow Bend from a Creek warrior in 1812. Andrew Jackson is believed to have said to Gul'kalaski, ""As long as the sun shines and the grass grows, you and me will be friends, and the Cherokees' feet will be pointed east."" When President Andrew Jackson approved the forceful removal of the Cherokee to Oklahoma Gul'kalaski went to D.C., to see him. President Andrews Jackson refused to give him an audience. Gul'kalaski believing he had failed to save his people changed his name to Tsuhnuhlahuhski, meaning ""He Tries but Fails."" Later the name was anglicized to ""Junaluska."" ",nct:Lake,Haywood County,,Corinne Foster,Griffin Powell,"Robert J. Conley, A Cherokee Encyclopedia
Albuturque: University of New Mexico Press, 2007
"
NCG08403,Lake Toxaway,,https://www.wikidata.org/wiki/Q6478137,,,,"resort community in W Transylvania County on Toxaway River. The original Toxaway Inn, built in 1903 on the shores of Lake Toxaway, and covered 540 acres with a shoreline of 15 mi and a max depth of 50 ft. It was a popular resort for the wealthy until the Toxaway dam failed in 1916. The dam was not rebuilt until 1961. The lake today is surrounded by homes, and there is a golf course and an airport in the community. The name is said to be derived from the Cherokee word ᏙᏧᏩ (do tsu wa, the cardinal bird). Toxaway was also the name of a Cherokee Lower Town on the Keowee River in present-day Oconee County, South Carolina.",nct:Community,Transylvania County,"35.134506, -82.94079",William Powell,Corinne Foster,
,Lake Waccamaw,,https://www.wikidata.org/wiki/Q2027701,,,,"Lake in Columbus County, North Carolina. One of the Carolina Bays. Artifacts connected to the local Souian people have been found near this lake.",nct:Lake,Columbus County,,William Powell,Griffin Powell,https://www.ncpedia.org/lake-waccamaw-state-park
,Lake Waccamaw Township,,https://www.wikidata.org/wiki/Q2027701,,,,"town in N Columbus County on the N shore of Lake Waccamaw. Known as Flemington from as early as 1853 until about 1885, when the present name came into use. Inc. 1911. Alt. 62.",nct:Township,Columbus County,,Griffin Powell,,https://www.ncpedia.org/lake-waccamaw-state-park
,Lambert/Brewer Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Light Of Truth Holiness Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Little Tellico,ᏖᎵᏉ|Telliquo|Tallico|Talikwa,,,,,"historic Cherokee Middle town on Tellico Creek, central Macon County.",nct:NativeAmericanSettlement,Macon County,,Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition"
,Little Zion Freewill Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear/Cummings Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear/Mcmillian Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear/Proctor Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear/Smith Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear (Cyrus) Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear Family Cemetery (Rosa Drive),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Locklear Family Cemetery (Shannon Road),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Long Swamp Indian Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Harvey Maynor,,
,Lowery Family Cemetery (Highway 711),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowery Family Cemetery (Moss Neck Road),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowery Family Cemetery (Shannon Road),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowry/Lowery Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowry (Irvin) Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowry Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lowry Family Cemetery At St. Anna,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lumbee Bank,,,,,,"the first Native-owned bank in the United States, located in Pembroke.",nct:BusinessORBusinessDistrict,Robeson County,,Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
,Lumbee Memorial Gardens,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Lumbee Recreation Center,,https://www.wikidata.org/wiki/Q49520136,,,,park in Robeson County.,nct:Park,Robeson County,"34.702222222222,-79.264166666667",Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
,Lumbee Regional Development Association,,https://www.wikidata.org/wiki/Q25052137,,,,"a non-profit organization, started in 1968, that provides support for Native Americans in Robeson County and the surrounding areas.",nct:Organization,Robeson County|Hoke County|Scotland County|Bladen County,,Kaylin Blount,,https://en.wikipedia.org/wiki/Lumbee_Regional_Development_Association|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
NCG09398,Lumbee River,Lumber River|The Lumbee|Downing Creek (formerly),,,,,See Lumber River.,nct:Reference,Columbus County|Hoke County|Robeson County|Scotland County,,William Powell,Kaylin Blount,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Lumbee Warehouse,,,,,,"the first Native-owned tobacco warehouse in North Carolina, located in Lumberton.",nct:BusinessORBusinessDistrict,Robeson County,,Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
NCG09402,Lumber River,Lumbee River|The Lumbee|Downing Creek (formerly),https://www.wikidata.org/wiki/Q3267277,http://id.loc.gov/authorities/names/sh2004007822,,https://viaf.org/viaf/315529898,"is formed on the Moore-Richmond county line where Naked Creek enters Drowning Creek. It flows SE along the Moore-Richmond and Hoke-Scotland county lines and for a short distance along the Robeson-Scotland county line. It then flows SE, E, and S across Robeson County to the Columbus-Robeson county line, which it follows into South Carolina. A short distance S of the state line, Lumber River enters Little Pee Dee River. It is approx. 125 mi. long. Sometimes known locally as Lumbee River. Previously known as Downing Creek. Significant natural feature of the Lumbee Tribe's homeland.",nct:River,Columbus County|Hoke County|Robeson County|Scotland County,"34.1954,-79.1656",William Powell,Kaylin Blount,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Luther Locklear Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Maherrin Town,,,,,,located at the mouth of Maherrin River on the North side where the Merrihan Indians settled and remained after moving from catherine creek (aka little town).,nct:NativeAmericanSettlement,Hertford County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG09550,Manteo,,https://www.wikidata.org/wiki/Q683205,http://id.loc.gov/authorities/names/n78022933,http://id.worldcat.org/fast/1203401,http://viaf.org/viaf/sourceID/LC%7Cn++78022933#skos:Concept,"town and county seat, on N Roanoke Island, E Dare County. Settled 1865. Inc. 1899. Named for the Indian chief Manteo, taken to England in 1584 by Philip Amadas and Arthur Barlowe in the service of Walter Raleigh. Alt. 12. The Lost Colony, an outdoor drama by Paul Green, has been presented nearby each summer since 1937. ",nct:Town,Dare County,,William Powell,Griffin Powell,https://www.outerbanks.com/manteo.html
,Mattamufket,Lake Mattamuskeet,https://www.wikidata.org/wiki/Q5969534,,,,"Lake in Hyde County, North Carolina. ",nct:Lake,Hyde County,,,,https://dc.lib.unc.edu/cdm/ref/collection/ncmaps/id/498
,Maynor Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,McFayden Mound,McFayden Burial Mound (31Bw67),,,,,"a Native American burial mound said to be located ""on the Cape Fear River in Brunswick County"" and containing ""skeletal remains""",nct:Burial Mound,Brunswick County,,Harvey Maynor,,"North Carolina Archaeology (formerly Southern Indian Studies) Vol. 18, North Carolina Archaeological Council Publication 24"
,Mcgirt Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mclean Mound,McLean Mound (31CD7),,,,,"a Native American burial mound said to be located ""lie on property of the late Mrs.Georgeana Ray directly behind and about 100 yards from the home of Mr.Oscar McLean. The mound was visible as a small hummock in a swale on the sandy ridge. "" and containing ""burials which totalled over 300.....Cultural material and refuse from the mound""",nct:Burial Mound,Cumberland County,,Harvey Maynor,,North Carolina Archaeology (formerly Southern Indian Studies) Vol. 18
,Mcneill Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Meherrin's Neck,Meherrin's Neck|Parker's Ferry|Maney's Neck,,,,,"From this location, the Meherrin played a central   part  in  a  boundary  dispute  between  the  Virginia  and  North  Carolina  colonial  governments   between  1703  and  1726.   In  1726,  the  government  of  North  Carolina  acknowledged  the   Meherrin’s rights to a six-mile reservation in the land called ""Meherrin Neck"" which later became   known as Manley’s  Neck,  and in the 20th century,  Parker’s Ferry.  It  is  unknown  how  the  Meherrin  lost  their  communal  holdings  to  the  Parker  Ferry   reservation.
",nct:Neck,Hertford County,,,,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etddd
,Meherrin Creek,Potecasi Creek|MUl Creek|Carter's Mill|Old Indian Path|Pottecasie Creek|Hot House Creek|Maharrin Creek,,,,,"The Meherrin shifted their main settlement from Meherrin   Neck  to  Meherrin/Potecasi  Creek  sometime  between  1759  and  1770. During the Civil War, the creek was the cite of the battle of Potecasi Creek on 26 July 1863.",nct:Creek,Hertford County,,,,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Meherrin Neck,Manley's Neck,,,,,See Manley's Neck.,nct:Reference,Hertford County,,,,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etdd
,Mingo Falls,Yon Equo|Big Bear Falls,https://www.wikidata.org/wiki/Q22975572,,,,"120-foot waterfall on Mingo Creek, Eastern Cherokee Reservation, NE Swain County. Named by loggers from Mingo County, West Virginia. Its Cherokee name, Yon Equo, translates to Big Bear Falls.",nct:Falls,Swain County,"35.531842, -83.274554",Corinne Foster,,"Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Mission Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Monroe Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Moore Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG10412,Moss Neck,,,,,,Lumbee community in W central Robeson County.,nct:Community,Robeson County,,William Powell,Kaylin Blount,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Mt. Airy Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mt. Olive Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mt Carmel Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mt Elem Freewill Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mt Elim Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Mt Moriah Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Naduhli,Na’duli|Natuhli|Nantalee|Nottley|Notley|Nottely,,,,,"historic Cherokee Valley town on Nottely River, SW Cherokee County. ",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition"
NCG10627,Nantahala Gorge,,,,,,"NE Graham and SW Swain Counties, a canyon of the Nantahala River. The name Nantahala comes from the Cherokee word nvda ayeli, meaning “sun in the center” but often translated as Land of the Noonday Sun. The name refers to the fact that from within the gorge the sun appears to rise and set in the same place year-round.",nct:GeologicalFormation,Graham County|Swain County,,William Powell,Corinne Foster,"Duncan and Riggs, Cherokee Heritage Trails Guidebook"
,Neowee,Neyowee|Nehowee|Neowi|Noewe|Nowee|Nayowee|Noyowee|Noyewee|Nayuhi|Nayu’hi|Uayowee,,,,,"historic Cherokee Valley town on Valley River, NE Cherokee County. Built by refugees from the Cherokee Lower Towns in present-day South Carolina. Destroyed by James Grant’s army in the Anglo-Cherokee War.",nct:NativeAmericanSettlement,Cherokee County,,Corinne Foster,,"Boulware, “The Effect of the Seven Years’ War on the Cherokee Nation"""
,Neuse ,,https://www.wikidata.org/wiki/Q7002817,,,,"a human settlement in North Carolina, United States of America
",nct:Community,Wake County,,Griffin Powell,,
NCG10715,Neuse River,Gow-ta-no ,https://www.wikidata.org/wiki/Q1606944,http://id.loc.gov/authorities/subjects/sh85091187,http://id.worldcat.org/fast/1348271|http://id.worldcat.org/fast/1241869,,"is formed in W Durham County by the junction of Eno and Flat Rivers. It flows se, forming in part the Durham-Granville and Durham-Wake county lines; then through Wake, Johnston, Wayne, Lenoir, and Craven Counties, forming in part the Craven-Pamlico and Carteret-Pamlico county lines before entering Pamlico Sound. The Neuse River was named by English explorer Arthur Barlowe in 1584 for the Neusiok Indians (meaning ‘‘peace’’); the Tuscarora Indians called it Gow-ta-no, or ‘‘pine in water.’’",nct:River,Carteret County|Craven County|Durham County|Granville County|Johnston County|Lenoir County|Pamlico County|Pitt County|Wake County|Wayne County,,William Powell,Griffin Powell,https://www.ncpedia.org/rivers/neuse
,New Bethel Methodist Church Cemetery (New),,,,,,a Native American cemetery in Robeson County. Not to be confused with New Bethel Methodist Church Cemetery (Old).,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,New Bethel Methodist Church Cemetery (Old),,,,,,a Native American cemetery in Robeson County. Not to be confused with New Bethel Methodist Church Cemetery (New).,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,New Hope,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,New Hope Church,Scuffletown Church,,,,,"place of worship in Pembroke. First site of the Croatan Indian Normal School, built in 1887.",nct:PlaceOfWorship,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318."
,New Point Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,New Prospect Methodist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
